MASHONALAND EAST PROVINCE :2018 HARMONISED PRESIDENTIAL ELECTION RESULTS: 30 JULY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,FACILITY,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive Party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
national Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goromonzi,Goromonzi South ,Ruwa Local Board,9,Open Space (19059 Proposed Secondary School) Tent,2501RLB0901,1,631,2,1,0,1,0,1,0,0,1,0,0,0,129,1,0,0,2,0,0,0,0,6,0,776,770
Goromonzi,Goromonzi South ,Ruwa Local Board,9,Quality A Primary School,2501RLB0902 A,0,403,0,0,0,0,1,1,0,0,0,0,0,0,80,3,0,0,1,0,0,0,0,3,0,492,489
Goromonzi,Goromonzi South ,Ruwa Local Board,9,Quality A Primary School,2501RLB0902 B,0,405,0,0,0,0,0,1,0,0,0,0,0,1,80,0,0,0,0,0,0,1,0,1,0,489,488
Goromonzi,Goromonzi South ,Ruwa Local Board,9,Quality B Primary School,2501RLB0903,0,331,0,0,0,0,0,3,0,0,0,0,0,0,64,0,0,0,2,0,0,1,0,2,0,403,401
Goromonzi,Goromonzi South ,Ruwa Local Board,9,Roman Catholic Church Tent,2501RLB0904 A,0,551,0,0,0,0,0,1,0,0,1,0,0,0,154,0,0,1,1,0,0,0,0,7,0,716,709
Goromonzi,Goromonzi South ,Ruwa Local Board,9,Roman Catholic Church Tent,2501RLB0904 B,1,565,0,0,0,1,0,3,0,0,0,0,0,0,143,0,0,0,3,1,0,0,0,6,0,723,717
Goromonzi,Goromonzi South ,Ruwa Local Board,9,Ruvheneko A Primary School,2501RLB0905 A,1,672,0,0,0,0,1,3,1,0,0,0,0,0,117,1,0,0,1,0,0,0,1,6,0,804,798
Goromonzi,Goromonzi South ,Ruwa Local Board,9,Ruvheneko A Primary School,2501RLB0905 B,1,657,1,0,0,0,0,2,0,0,0,0,0,1,120,1,0,0,2,0,0,0,0,4,0,789,785
Goromonzi,Goromonzi South ,Ruwa Local Board,9,Ruvheneko A Primary School,2501RLB0905 C,0,659,2,0,0,0,1,2,0,0,1,0,1,0,114,0,0,0,2,0,0,0,0,8,0,790,782
Goromonzi,Goromonzi South ,Ruwa Local Board,9,Ruvheneko B Primary School,2501RLB0906,0,252,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,2,0,311,309
Goromonzi,Goromonzi South ,Ruwa Local Board,9,Ruvheneko A Secondary School,2501RLB0907,2,415,0,0,0,0,0,1,0,0,1,0,0,0,72,0,0,0,1,0,0,0,0,3,0,495,492
Goromonzi,Goromonzi South ,Ruwa Local Board,9,Ruvheneko B Secondary School,2501RLB0908,1,323,0,0,0,0,0,3,0,0,0,0,0,0,60,0,0,0,1,0,0,0,0,6,0,394,388
Goromonzi,Goromonzi South ,Ruwa Local Board,9,Ruwa Skills Training Centre,2501RLB0909 A,0,553,0,0,0,1,1,0,0,0,0,0,0,2,128,1,0,1,0,0,0,0,0,3,0,690,687
Goromonzi,Goromonzi South ,Ruwa Local Board,9,Ruwa Skills Training Centre,2501RLB0909 B,1,546,1,0,0,0,1,2,0,0,0,0,0,0,142,2,0,0,0,0,1,1,0,3,0,700,697
Goromonzi,Goromonzi South ,Ruwa Local Board,9,The Fountain Primary School,2501RLB0910,2,467,0,0,0,0,1,0,0,0,0,0,0,0,86,0,0,1,0,0,0,0,0,3,0,560,557
,,,,15 Polling Stations,WARD TOTAL,10,7430,6,1,0,3,6,23,1,0,4,0,1,4,1546,9,0,3,16,1,1,3,1,63,0,"9,132","9,069"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Goromonzi South Constituency Total,,,120,"39,689",79,56,11,44,57,152,24,17,17,9,15,17,"21,593",92,11,35,98,19,18,15,25,676,0,"62,889","62,213"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goromonzi,Goromonzi West,Goromonzi RDC,1,Chaonza Business Centre Tent,2500GZI0101,0,116,1,2,1,0,0,1,0,0,0,0,0,1,178,0,0,0,1,1,0,0,0,10,0,312,302
Goromonzi,Goromonzi West,Goromonzi RDC,1,Govera Primary School,2500GZI0102,2,84,0,0,1,1,1,1,0,0,0,0,0,0,101,1,0,0,0,0,0,0,1,7,0,200,193
Goromonzi,Goromonzi West,Goromonzi RDC,1,Kachuta Primary School,2500GZI0103,2,364,3,0,1,1,1,5,1,0,2,0,0,0,343,4,0,6,7,1,0,0,1,13,0,755,742
Goromonzi,Goromonzi West,Goromonzi RDC,1,Masikandoro Clinic,2500GZI0104,0,160,0,0,0,1,1,3,0,0,0,0,0,0,165,2,0,0,3,0,0,0,0,11,0,346,335
Goromonzi,Goromonzi West,Goromonzi RDC,1,Mukombami Business Centre Tent,2500GZI0105,2,213,2,0,0,0,1,2,0,1,0,0,0,1,134,1,0,1,1,0,0,1,1,5,0,366,361
Goromonzi,Goromonzi West,Goromonzi RDC,1,Munyawiri Primary School,2500GZI0106,4,422,2,0,0,1,0,3,0,1,0,0,1,0,244,0,0,1,2,2,0,3,0,20,0,706,686
Goromonzi,Goromonzi West,Goromonzi RDC,1,Mutonda Primary School,2500GZI0107,4,266,1,0,0,1,0,3,0,0,0,0,1,0,153,3,0,1,1,0,0,2,0,18,0,454,436
,,,,7 Polling Stations,WARD TOTAL,14,1625,9,2,3,5,4,18,1,2,2,0,2,2,1318,11,0,9,15,4,0,6,3,84,0,"3,139","3,055"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goromonzi,Goromonzi West,Goromonzi RDC,2,Cheza Primary School,2500GZI0201,1,131,0,1,1,2,2,4,1,0,0,0,0,0,197,1,0,0,0,0,0,0,0,25,0,366,341
Goromonzi,Goromonzi West,Goromonzi RDC,2,Chinamhora Primary School,2500GZI0202 A,1,177,3,0,0,1,0,2,0,0,0,0,0,2,238,0,0,0,1,0,0,1,0,10,0,436,426
Goromonzi,Goromonzi West,Goromonzi RDC,2,Chinamhora Primary School,2500GZI0202 B,4,182,0,0,0,1,1,4,0,0,0,0,0,1,218,4,0,0,2,1,0,0,0,5,0,423,418
Goromonzi,Goromonzi West,Goromonzi RDC,2,Makumbe High School,2500GZI0203 A,1,314,0,0,2,2,0,5,0,0,0,0,0,2,155,0,0,1,3,0,2,0,0,6,0,493,487
Goromonzi,Goromonzi West,Goromonzi RDC,2,Makumbe High School,2500GZI0203 B,0,314,1,0,0,0,0,5,0,0,0,0,0,0,181,2,0,1,2,0,0,2,0,8,0,516,508
Goromonzi,Goromonzi West,Goromonzi RDC,2,Mushayapokuvaka Business Centre Tent,2500GZI0204,2,289,1,0,0,1,0,4,0,0,0,0,0,0,180,1,0,0,4,0,0,0,0,7,0,489,482
Goromonzi,Goromonzi West,Goromonzi RDC,2,Mutake Primary School,2500GZI0205 A,2,394,3,0,0,1,1,2,0,0,0,0,0,1,261,1,0,1,3,0,1,0,0,4,0,675,671
Goromonzi,Goromonzi West,Goromonzi RDC,2,Mutake Primary School,2500GZI0205 B,0,396,1,1,0,0,0,4,0,3,0,0,0,0,243,0,0,2,4,0,1,1,1,9,0,666,657
Goromonzi,Goromonzi West,Goromonzi RDC,2,Nyakudya Primary School,2500GZI0206 A,1,217,1,0,0,1,1,2,0,0,0,0,0,0,227,1,0,1,0,0,1,2,0,5,0,460,455
Goromonzi,Goromonzi West,Goromonzi RDC,2,Nyakudya Primary School,2500GZI0206 B,4,185,2,0,0,3,0,3,1,0,0,0,0,0,235,2,1,0,1,4,0,0,0,2,0,443,441
,,,,10 Polling Stations,WARD TOTAL,16,2599,12,2,3,12,5,35,2,3,0,0,0,6,2135,12,1,6,20,5,5,6,1,81,0,"4,967","4,886"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goromonzi,Goromonzi West,Goromonzi RDC,3,Denda Business Centre Tent,2500GZI0301,3,228,2,0,0,1,0,2,0,0,0,0,0,0,250,0,0,3,5,0,0,1,0,12,0,507,495
Goromonzi,Goromonzi West,Goromonzi RDC,3,Ezekiel Guti Primary School,2500GZI0302,0,106,3,0,0,0,1,4,0,0,0,0,0,0,157,3,0,0,0,0,0,0,0,6,0,280,274
Goromonzi,Goromonzi West,Goromonzi RDC,3,Nyaure Clinic,2500GZI0303,2,301,0,0,0,0,3,1,0,0,0,0,0,0,238,1,0,1,11,1,0,1,2,28,0,590,562
Goromonzi,Goromonzi West,Goromonzi RDC,3,Pasipamire Village,2500GZI0304,2,193,0,0,0,0,0,0,0,0,1,0,0,0,121,0,0,0,2,0,3,0,0,2,0,324,322
Goromonzi,Goromonzi West,Goromonzi RDC,3,Tsatse High School,2500GZI0305,1,298,2,0,0,1,0,4,0,0,0,0,0,0,173,0,0,1,2,0,0,0,0,11,0,493,482
,,,,5  Polling Station,WARD TOTAL,8,1126,7,0,0,2,4,11,0,0,1,0,0,0,939,4,0,5,20,1,3,2,2,59,0,"2,194","2,135"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goromonzi,Goromonzi West,Goromonzi RDC,4,AFM Domboshawa Assembly,2500GZI0401 A,2,423,1,0,0,0,0,3,0,0,0,0,0,0,132,1,0,1,2,0,0,0,0,5,0,570,565
Goromonzi,Goromonzi West,Goromonzi RDC,4,AFM Domboshawa Assembly,2500GZI0401 B,0,423,0,0,0,1,1,2,0,0,0,0,0,0,131,0,0,3,0,0,0,1,0,4,0,566,562
Goromonzi,Goromonzi West,Goromonzi RDC,4,Chinamora Hall,2500GZI0402 A,2,444,0,0,0,1,1,0,0,0,0,0,0,0,176,0,0,0,1,1,0,0,0,8,0,634,626
Goromonzi,Goromonzi West,Goromonzi RDC,4,Chinamora Hall,2500GZI0402 B,0,449,0,0,0,0,1,0,0,0,1,0,0,0,180,1,0,1,2,0,0,1,0,1,0,637,636
Goromonzi,Goromonzi West,Goromonzi RDC,4,Chinamora Hall,2500GZI0402 C,0,436,0,0,0,1,0,2,0,0,0,0,0,0,183,0,0,0,3,1,0,0,0,6,0,632,626
Goromonzi,Goromonzi West,Goromonzi RDC,4,Chogugudza A Primary School,2500GZI0403 A,1,462,1,0,0,2,0,2,0,0,0,0,0,0,183,0,0,0,2,0,1,0,0,3,0,657,654
Goromonzi,Goromonzi West,Goromonzi RDC,4,Chogugudza A Primary School,2500GZI0403 B,3,466,0,0,0,0,0,4,0,1,0,0,1,0,185,1,0,0,1,0,0,0,0,3,0,665,662
Goromonzi,Goromonzi West,Goromonzi RDC,4,Chogugudza B Primary School,2500GZI0404,0,121,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,1,0,0,0,0,1,0,156,155
Goromonzi,Goromonzi West,Goromonzi RDC,4,Domboshawa Primary School,2500GZI0405,0,210,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,1,0,0,0,5,0,321,316
Goromonzi,Goromonzi West,Goromonzi RDC,4,Gutsa Village,2500GZI0406,1,238,2,0,0,0,0,2,0,0,0,0,0,0,188,2,0,0,0,2,2,0,1,10,0,448,438
Goromonzi,Goromonzi West,Goromonzi RDC,4,Mungate Hall,2500GZI0407 A,1,518,1,1,0,0,0,3,0,2,0,0,0,1,161,2,0,3,3,0,1,0,0,14,0,711,697
Goromonzi,Goromonzi West,Goromonzi RDC,4,Mungate Hall,2500GZI0407 B,0,518,0,0,0,0,0,1,0,0,0,0,0,0,164,1,1,0,3,0,0,0,0,6,0,694,688
Goromonzi,Goromonzi West,Goromonzi RDC,4,Mungate Hall,2500GZI0407 C,1,540,0,0,0,0,1,4,0,1,0,0,0,0,167,1,0,0,2,0,0,1,0,9,0,727,718
Goromonzi,Goromonzi West,Goromonzi RDC,4,Nyamande Primary School,2500GZI0408 A,2,258,1,1,0,0,1,3,0,0,0,0,0,0,260,5,0,0,0,0,0,0,0,10,0,541,531
Goromonzi,Goromonzi West,Goromonzi RDC,4,Nyamande Primary School,2500GZI0408 B,6,258,2,1,0,0,1,2,0,0,1,1,0,0,255,1,0,0,0,0,0,1,0,5,0,534,529
Goromonzi,Goromonzi West,Goromonzi RDC,4,Parirewa Primary School,2500GZI0409 A,0,416,0,0,0,0,0,1,1,0,0,0,0,0,196,1,0,1,0,0,0,0,0,10,0,626,616
Goromonzi,Goromonzi West,Goromonzi RDC,4,Parirewa Primary School,2500GZI0409 B,1,415,0,1,0,1,1,2,0,0,0,0,0,0,209,1,0,1,1,0,0,0,0,8,0,641,633
Goromonzi,Goromonzi West,Goromonzi RDC,4,Zimbiru Primary School,2500GZI0410 A,0,505,0,0,1,0,1,4,0,0,0,0,0,0,196,2,0,3,4,1,0,0,0,6,0,723,717
Goromonzi,Goromonzi West,Goromonzi RDC,4,Zimbiru Primary School,2500GZI0410 B,1,579,1,1,0,0,0,3,0,0,0,0,0,0,119,1,0,0,3,0,1,0,0,6,0,715,709
Goromonzi,Goromonzi West,Goromonzi RDC,4,Zimbiru Primary School,2500GZI0410 C,1,493,0,0,0,0,0,6,1,0,0,0,0,1,179,0,0,2,2,0,1,0,1,10,0,697,687
Goromonzi,Goromonzi West,Goromonzi RDC,4,Zimbiru Primary School,2500GZI0410 D,2,511,2,1,0,1,0,2,0,0,0,0,0,1,174,1,0,0,0,1,0,1,0,8,0,705,697
,,,,21 Polling Stations,WARD TOTAL,24,8683,11,6,1,7,8,46,2,4,2,1,1,3,3576,21,1,15,30,7,6,5,2,138,0,"12,600","12,462"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goromonzi,Goromonzi West,Goromonzi RDC,5,Molife Primary School,2500GZI0501 A,3,292,1,0,0,0,0,4,1,0,0,0,0,0,129,1,0,2,0,0,0,0,0,6,0,439,433
Goromonzi,Goromonzi West,Goromonzi RDC,5,Molife Primary School,2500GZI0501 B,0,288,5,0,0,1,0,2,0,0,0,0,0,1,140,2,0,0,5,0,0,1,0,7,0,452,445
Goromonzi,Goromonzi West,Goromonzi RDC,5,Pote Clinic,2500GZI0502,2,196,2,0,1,0,0,2,1,0,0,0,0,0,138,1,0,1,1,0,1,0,1,5,0,352,347
Goromonzi,Goromonzi West,Goromonzi RDC,5,Pote Primary School,2500GZI0503,0,234,4,0,0,0,0,2,0,0,0,0,0,0,398,1,0,1,2,1,0,0,1,3,0,647,644
Goromonzi,Goromonzi West,Goromonzi RDC,5,Pote Secondary School,2500GZI0504,1,157,1,0,0,0,0,0,2,0,0,1,0,1,75,0,0,0,1,0,1,0,0,3,0,243,240
Goromonzi,Goromonzi West,Goromonzi RDC,5,Runhanga Business Centre Tent,2500GZI0505,1,293,1,0,0,0,0,3,0,0,0,0,0,0,196,1,1,1,0,0,0,0,0,1,0,498,497
,,,,6  Polling Stations,WARD TOTAL,7,1460,14,0,1,1,0,13,4,0,0,1,0,2,1076,6,1,5,9,1,2,1,2,25,0,"2,631","2,606"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goromonzi,Goromonzi West,Goromonzi RDC,6,Crowhill Primary School,2500GZI0601,2,560,0,0,0,1,0,7,0,0,0,1,0,0,181,3,1,0,0,0,0,0,0,3,0,759,756
Goromonzi,Goromonzi West,Goromonzi RDC,6,Glen Forest Road Store Rest,2500GZI0602,1,201,0,0,0,0,0,0,1,0,0,0,0,1,96,1,1,0,1,0,1,1,0,4,0,309,305
Goromonzi,Goromonzi West,Goromonzi RDC,6,Joan Rankin Clinic,2500GZI0603,2,158,1,0,0,0,0,4,0,0,0,0,0,0,195,2,0,0,1,0,1,0,0,6,0,370,364
Goromonzi,Goromonzi West,Goromonzi RDC,6,Mistress Mine,2500GZI0604,1,96,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,1,0,0,0,0,1,0,248,247
Goromonzi,Goromonzi West,Goromonzi RDC,6,Resthaven Primary School,2500GZI0605,1,193,0,0,0,0,0,2,0,0,1,0,0,0,58,1,1,0,0,0,0,0,0,3,0,260,257
Goromonzi,Goromonzi West,Goromonzi RDC,6,Sally Mugabe Heights A Primary School,2500GZI0606,2,358,0,0,0,0,0,1,0,0,2,0,0,0,258,1,1,0,2,0,0,0,0,7,0,632,625
Goromonzi,Goromonzi West,Goromonzi RDC,6,Sally Mugabe Heights B Primary School,2500GZI0607 A,1,360,1,0,0,0,1,3,0,0,0,0,0,0,247,0,0,0,3,1,0,0,0,6,0,623,617
Goromonzi,Goromonzi West,Goromonzi RDC,6,Sally Mugabe Heights B Primary School,2500GZI0607 B,1,411,2,0,0,0,0,2,0,0,0,0,0,0,225,2,0,0,2,0,1,0,0,2,0,648,646
,,,,8 Polling Stations,WARD TOTAL,11,2337,4,0,0,1,1,19,1,0,3,1,0,1,1409,10,4,0,10,1,3,1,0,32,0,"3,849","3,817"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goromonzi,Goromonzi West,Goromonzi RDC,7,Chabwino (Howson) Primary School,2500GZI0701,3,102,2,0,0,0,0,2,1,0,2,1,1,0,369,1,0,1,0,0,0,0,0,11,0,496,485
Goromonzi,Goromonzi West,Goromonzi RDC,7,Chibvuti Primary School,2500GZI0702 A,1,274,4,0,0,1,1,2,1,0,0,0,0,0,326,1,0,1,0,0,0,0,0,9,0,621,612
Goromonzi,Goromonzi West,Goromonzi RDC,7,Chibvuti Primary School,2500GZI0702 B,2,254,0,0,0,3,1,0,0,0,1,0,0,0,362,0,0,1,1,0,0,0,0,6,0,631,625
Goromonzi,Goromonzi West,Goromonzi RDC,7,Munenga Primary School,2500GZI0703,0,39,0,1,0,1,0,1,0,0,0,0,0,0,221,0,0,1,1,1,1,0,0,1,0,268,267
,,,,4 Polling Stations,WARD TOTAL,6,669,6,1,0,5,2,5,2,0,3,1,1,0,1278,2,0,4,2,1,1,0,0,27,0,"2,016","1,989"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goromonzi,Goromonzi West,Goromonzi RDC,8,Ewanrigg Botanical Gardens,2500GZI0801,1,58,1,1,0,0,0,0,0,0,0,0,0,0,129,0,1,1,0,0,0,0,0,1,0,193,192
Goromonzi,Goromonzi West,Goromonzi RDC,8,New Gregory Farm Tent,2500GZI0802,0,15,0,0,0,1,0,1,0,0,0,0,0,0,134,0,0,1,0,0,0,0,0,4,0,156,152
Goromonzi,Goromonzi West,Goromonzi RDC,8,PaGejo raRubi Primary School,2500GZI0803,2,256,1,0,0,0,0,4,0,0,0,0,0,1,206,0,0,3,1,0,0,0,0,9,0,483,474
Goromonzi,Goromonzi West,Goromonzi RDC,8,The Grove Primary School,2500GZI0804,2,268,1,1,2,1,0,6,0,0,0,0,0,1,318,5,2,6,2,0,1,1,0,13,0,630,617
Goromonzi,Goromonzi West,Goromonzi RDC,8,Umristur Primary School,2500GZI0805,2,85,0,0,0,2,0,2,0,0,0,1,0,1,473,0,0,5,0,0,0,0,0,9,0,580,571
,,,,5 Polling Stations,WARD TOTAL,7,682,3,2,2,4,0,13,0,0,0,1,0,3,1260,5,3,16,3,0,1,1,0,36,0,"2,042","2,006"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Goromonzi West Constituency Total,,,93,"19,181",66,13,10,37,24,160,12,9,11,5,4,17,"12,991",71,10,60,109,20,21,22,10,482,0,"33,438","32,956"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMP,Maramba-Pfungwe ,Zvataida RDC,1,Chatseka Primary School,8500ZVA0101,1,18,0,0,0,1,0,0,1,0,0,0,0,0,518,0,0,0,0,0,0,0,0,2,0,541,539
UMP,Maramba-Pfungwe ,Zvataida RDC,1,Chatseka Turn Off Tent,8500ZVA0102,1,8,0,0,1,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,2,0,241,239
UMP,Maramba-Pfungwe ,Zvataida RDC,1,Dewe Primary School,8500ZVA0103,2,6,0,0,0,0,0,0,0,0,0,0,0,0,533,0,0,0,0,0,0,0,0,3,0,544,541
UMP,Maramba-Pfungwe ,Zvataida RDC,1,Masunzwa Primary School,8500ZVA0104,1,13,0,0,0,0,0,0,0,0,0,0,0,0,325,1,0,0,0,1,0,1,0,0,0,342,342
UMP,Maramba-Pfungwe ,Zvataida RDC,1,Nyanzou Primary School,8500ZVA0105,1,29,1,0,0,1,1,1,0,0,0,0,0,3,825,2,0,0,0,0,0,0,0,9,0,873,864
,,,,5 Polling Stations,WARD TOTAL,6,74,1,0,1,2,1,1,1,0,0,0,0,3,2430,3,0,0,0,1,0,1,0,16,0,"2,541","2,525"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMP,Maramba-Pfungwe ,Zvataida RDC,2,Gowe Business Centre Tent,8500ZVA0201,1,14,1,0,0,6,0,1,0,0,0,0,0,0,542,0,1,1,0,1,0,1,0,10,0,579,569
UMP,Maramba-Pfungwe ,Zvataida RDC,2,Kafura Primary School,8500ZVA0202 A,1,27,0,0,0,2,1,1,0,0,0,0,0,0,450,0,0,1,0,0,0,1,0,1,0,485,484
UMP,Maramba-Pfungwe ,Zvataida RDC,2,Kafura Primary School,8500ZVA0202 B,2,34,2,0,0,2,0,2,0,0,0,0,0,0,415,2,0,0,0,1,0,0,1,4,0,465,461
UMP,Maramba-Pfungwe ,Zvataida RDC,2,Kanzire Primary School,8500ZVA0203,0,9,2,0,0,2,0,0,0,0,0,0,0,0,397,0,1,0,0,3,0,1,0,8,0,423,415
UMP,Maramba-Pfungwe ,Zvataida RDC,2,Museka Primary School,8500ZVA0204,1,7,0,0,0,1,0,1,0,0,0,0,0,0,406,0,0,0,0,0,0,0,0,4,0,420,416
UMP,Maramba-Pfungwe ,Zvataida RDC,2,Mutata Primary School,8500ZVA0205,2,71,0,0,0,1,0,1,0,0,0,1,0,0,578,1,0,0,1,1,0,0,2,8,0,667,659
,,,,6 Polling Stations,WARD TOTAL,7,162,5,0,0,14,1,6,0,0,0,1,0,0,2788,3,2,2,1,6,0,3,3,35,0,"3,039","3,004"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMP,Maramba-Pfungwe ,Zvataida RDC,3,Chipawa Primary School,8500ZVA0301,0,2,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,1,0,287,286
UMP,Maramba-Pfungwe ,Zvataida RDC,3,Jamari Primary School,8500ZVA0302,0,27,0,0,0,0,0,1,0,0,0,0,0,0,223,1,0,0,0,0,0,0,0,0,0,252,252
UMP,Maramba-Pfungwe ,Zvataida RDC,3,Japachapa Pre-School,8500ZVA0303,0,2,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,2,0,195,193
UMP,Maramba-Pfungwe ,Zvataida RDC,3,Magudu Primary School,8500ZVA0304,1,18,1,0,0,0,0,1,0,2,0,0,0,0,459,1,0,0,0,0,0,0,0,4,0,487,483
UMP,Maramba-Pfungwe ,Zvataida RDC,3,Nyakarowa Primary School,8500ZVA0305,1,8,1,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,2,0,325,323
UMP,Maramba-Pfungwe ,Zvataida RDC,3,Nyakasoro DDF Camp Rest,8500ZVA0306,0,11,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,1,0,0,0,0,4,0,229,225
UMP,Maramba-Pfungwe ,Zvataida RDC,3,Patsika Primary School,8500ZVA0307,0,17,0,0,0,0,0,0,0,0,0,0,0,0,718,1,0,0,0,0,0,0,1,0,0,737,737
,,,,7  Polling Station,WARD TOTAL,2,85,2,0,0,0,0,2,0,2,0,0,0,0,2401,3,0,0,1,0,0,0,1,13,0,"2,512","2,499"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMP,Maramba-Pfungwe ,Zvataida RDC,4,Chitorangavi Primary School,8500ZVA0401,0,8,0,0,0,0,1,0,0,0,0,0,0,0,896,1,0,0,1,1,0,0,0,7,0,915,908
UMP,Maramba-Pfungwe ,Zvataida RDC,4,Chipokoteke Primary School,8500ZVA0402,1,25,3,0,1,0,0,1,0,0,1,0,0,0,595,2,0,0,0,0,1,0,0,3,0,633,630
UMP,Maramba-Pfungwe ,Zvataida RDC,4,Chitsungo Primary School,8500ZVA0403,0,33,0,0,0,0,0,0,0,0,0,0,0,0,567,0,0,0,1,0,0,1,0,1,0,603,602
UMP,Maramba-Pfungwe ,Zvataida RDC,4,Dindi Secondary School,8500ZVA0404 A,0,21,0,0,0,1,0,0,1,0,0,0,0,0,642,1,0,0,0,0,0,0,0,3,0,669,666
UMP,Maramba-Pfungwe ,Zvataida RDC,4,Dindi Secondary School,8500ZVA0404 B,2,19,1,0,0,1,0,0,0,0,0,0,0,0,636,1,0,0,1,0,0,0,1,5,0,667,662
UMP,Maramba-Pfungwe ,Zvataida RDC,4,Mungari Primary School,8500ZVA0405,0,17,1,1,0,0,1,0,0,0,0,0,0,0,858,1,0,0,0,0,0,1,0,3,0,883,880
UMP,Maramba-Pfungwe ,Zvataida RDC,4,Mupata Business Centre Tent,8500ZVA0406,4,9,1,1,0,2,0,0,0,0,0,0,0,0,667,1,0,0,0,0,1,0,0,6,0,692,686
,,,,7  Polling Station,WARD TOTAL,7,132,6,2,1,4,2,1,1,0,1,0,0,0,4861,7,0,0,3,1,2,2,1,28,0,"5,062","5,034"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMP,Maramba-Pfungwe ,Zvataida RDC,5,Kakonde Primary School,8500ZVA0501,0,6,0,0,0,0,0,0,0,0,0,0,0,0,437,0,0,0,0,0,0,0,0,1,0,444,443
,,,5,Sowa Community Hall,8500ZVA0502 A,0,16,1,0,0,0,0,1,0,0,0,0,0,0,453,0,0,0,0,0,0,0,0,3,0,474,471
UMP,Maramba-Pfungwe ,Zvataida RDC,5,Sowa Community Hall,8500ZVA0502 B,2,17,0,0,0,0,0,0,0,0,0,0,0,0,444,1,0,0,0,0,0,0,0,1,0,465,464
UMP,Maramba-Pfungwe ,Zvataida RDC,5,Sowa Primary School,8500ZVA0503,0,13,0,0,0,0,0,0,0,0,0,0,0,0,637,0,0,1,0,0,0,0,0,0,0,651,651
,,,,4  Polling Station,WARD TOTAL,2,52,1,0,0,0,0,1,0,0,0,0,0,0,1971,1,0,1,0,0,0,0,0,5,0,"2,034","2,029"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMP,Maramba-Pfungwe ,Zvataida RDC,6,Chinhanga Primary School,8500ZVA0601,0,52,0,0,0,0,0,2,0,0,0,0,0,0,502,1,0,0,0,0,0,0,1,4,0,562,558
