MIDLANDS PROVINCE 2018 HARMONISED ELECTIONS PRESIDENTIAL ELECTION RESULTS: 30 JULY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATION NAME,Polling Station Code,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
National Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
,,,,6 Polling Stations,Ward Total,18,555,3,1,1,3,2,4,1,1,2,2,0,1,852,7,0,2,4,2,0,0,2,17,0,1480,1463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chirumanzu,Chirumanzu,Takawira RDC,4,Chengwena Clinic Tent,7700TAK0401,0,19,0,0,0,0,0,1,0,0,0,0,0,0,130,1,0,0,1,0,0,0,0,0,0,152,152
Chirumanzu,Chirumanzu,Takawira RDC,4,Chengwena Secondary School,7700TAK0402,0,34,2,0,0,0,0,1,0,0,0,0,0,0,233,1,0,0,0,0,0,0,0,1,0,272,271
Chirumanzu,Chirumanzu,Takawira RDC,4,Chizvinire Primary School,7700TAK0403,0,19,0,0,0,0,0,0,0,0,0,0,0,1,86,2,0,0,1,0,0,1,0,0,0,110,110
Chirumanzu,Chirumanzu,Takawira RDC,4,Juru/Godza Business Centre Tent,7700TAK0404,0,15,0,0,0,0,0,0,0,0,0,1,0,0,214,1,0,0,4,0,0,0,1,5,0,241,236
,,,,4 Polling Stations,Ward Total,0,87,2,0,0,0,0,2,0,0,0,1,0,1,663,5,0,0,6,0,0,1,1,6,0,775,769
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chirumanzu,Chirumanzu,Takawira RDC,5,Chimbindi Primary School,7700TAK0501,3,92,0,1,0,0,1,2,0,0,0,0,1,0,209,2,0,0,0,0,0,0,1,1,0,313,312
Chirumanzu,Chirumanzu,Takawira RDC,5,Chizhou Secondary School,7700TAK0502,2,102,1,0,0,0,0,1,0,0,0,0,0,0,144,0,0,0,0,0,0,1,0,1,0,252,251
Chirumanzu,Chirumanzu,Takawira RDC,5,Muzeza Primary School,7700TAK0503,5,170,0,0,0,0,0,2,0,0,0,0,0,1,209,1,0,3,0,0,0,0,0,3,1,394,391
Chirumanzu,Chirumanzu,Takawira RDC,5,Nhomboka Primary School,7700TAK0504,6,93,0,0,0,1,0,4,0,0,0,0,0,1,200,4,0,0,0,0,1,0,1,2,0,313,311
,,,,4 Polling Stations,Ward Total,16,457,1,1,0,1,1,9,0,0,0,0,1,2,762,7,0,3,0,0,1,1,2,7,1,1272,1265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chirumanzu,Chirumanzu,Takawira RDC,6,Chipenzi Business Centre Tent,7700TAK0601,2,88,1,0,0,0,1,1,0,0,0,0,0,0,187,0,0,0,1,0,1,0,0,1,0,283,282
Chirumanzu,Chirumanzu,Takawira RDC,6,Gambiza Primary School,7700TAK0602,0,89,0,0,0,0,0,1,0,0,1,0,0,0,100,1,0,0,0,0,0,0,0,3,0,195,192
Chirumanzu,Chirumanzu,Takawira RDC,6,Hwata Primary School,7700TAK0603,2,38,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0,1,0,0,0,1,0,4,0,127,123
Chirumanzu,Chirumanzu,Takawira RDC,6,Holy Cross High School,7700TAK0604,1,240,0,0,1,0,0,2,0,0,0,0,0,0,178,0,0,1,0,0,0,2,0,4,0,429,425
