MIDLANDS PROVINCE 2018 HARMONISED ELECTIONS PRESIDENTIAL ELECTION RESULTS: 30 JULY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATION NAME,Polling Station Code,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
National Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Gokwe North,Gokwe-Kabuyuni,Gokwe North RDC,31,Sabala Business Centre Tent,2600GON3104,2,243,0,0,0,1,1,8,1,0,0,0,0,0,272,3,0,1,0,0,1,1,3,9,0,546,537
Gokwe North,Gokwe-Kabuyuni,Gokwe North RDC,31,Simchembu 1 Primary School,2600GON3105 A,2,210,0,0,1,2,1,14,2,0,0,1,0,0,203,4,2,0,0,0,1,2,2,9,0,456,447
Gokwe North,Gokwe-Kabuyuni,Gokwe North RDC,31,Simchembu 1 Primary School,2600GON3105 B,7,238,2,0,0,3,1,14,3,1,0,1,1,1,145,6,1,2,1,1,0,4,1,18,0,451,433
,,,,6 Polling Stations,Ward Total,17,1271,6,0,1,10,4,49,8,3,0,3,1,1,1106,20,3,4,2,1,3,7,8,70,0,2598,2528
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gokwe Kabuyuni Constituency Total,,,,,,176,7826,103,13,25,104,31,300,21,14,9,25,15,34,15222,122,30,29,24,35,26,40,48,729,0,25001,24272
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,11,Batsirai Primary School,2600GON1101,1,326,3,0,2,0,1,4,0,0,0,0,0,1,388,6,1,1,1,0,0,0,0,18,0,753,735
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,11,Chinyenyetu Primary School,2600GON1102 A,6,227,5,0,0,3,2,8,0,0,0,0,0,0,320,4,1,1,0,1,0,1,1,17,0,597,580
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,11,Chinyenyetu Primary School,2600GON1102 B,3,243,1,0,0,1,1,11,1,0,0,0,0,2,302,1,0,1,0,0,1,0,0,13,0,581,568
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,11,Kuedza Primary School,2600GON1103,0,173,5,0,0,3,0,4,0,1,1,0,0,0,321,2,0,1,4,1,1,0,2,11,0,530,519
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,11,Mavhirivhi Primary School,2600GON1104,4,144,1,0,0,1,1,3,0,0,0,0,1,0,248,1,0,1,0,0,1,0,2,8,0,416,408
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,11,Mushamba Business Centre Tent,2600GON1105,2,139,2,0,0,0,0,3,0,0,0,0,2,0,330,1,1,2,0,1,0,2,0,7,0,492,485
,,,,6 Polling Stations,Ward Total,16,1252,17,0,2,8,5,33,1,1,1,0,3,3,1909,15,3,7,5,3,3,3,5,74,0,3369,3295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,12,Chirape Business Centre Tent,2600GON1201,2,132,1,0,0,0,0,4,0,2,0,0,0,0,251,4,0,1,0,0,0,0,0,9,0,406,397
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,12,Nyamazengwe Primary School,2600GON1202 A,1,123,1,0,0,0,0,2,0,0,0,0,0,0,330,0,0,0,0,0,2,1,1,7,0,468,461
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,12,Nyamazengwe Primary School,2600GON1202 B,2,94,1,0,1,0,1,2,0,0,1,0,0,2,343,1,0,1,0,0,0,0,0,6,0,455,449
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,12,NYAMUPONDA,2600GON1203,5,245,3,0,1,2,0,3,1,0,0,0,0,0,483,3,1,1,0,1,0,1,1,18,0,769,751
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,12,Nyatso Primary School,2600GON1204,1,132,0,0,2,0,0,0,0,0,0,0,0,0,277,1,0,1,0,0,0,0,0,7,0,421,414
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,12,Tanhira Borehole Tent,2600GON1205,2,101,0,0,0,1,0,3,0,0,0,0,0,0,222,1,0,0,0,0,0,0,0,4,0,334,330
,,,,6 Polling Stations,Ward Total,13,827,6,0,4,3,1,14,1,2,1,0,0,2,1906,10,1,4,0,1,2,2,2,51,0,2853,2802
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,13,Bande Primary School,2600GON1301,0,127,1,0,0,2,0,3,0,0,0,0,0,0,202,2,0,1,1,0,0,0,0,2,0,341,339
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,13,Dukaupfu Secondary School,2600GON1302,4,170,2,0,0,0,1,2,0,1,0,0,0,0,252,2,0,1,0,0,0,1,1,12,0,449,437
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,13,Musorowenzou Primary school Primary School,2600GON1303,0,142,0,0,0,0,2,4,0,0,0,0,0,2,351,1,0,4,0,1,0,0,0,7,0,514,507
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,13,Nyamuroro A Primary School,2600GON1304,3,193,1,0,0,1,1,2,0,1,0,0,0,1,481,2,0,1,2,2,2,1,1,14,0,709,695
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,13,Nyamuroro B Primary School,2600GON1305,4,236,2,0,0,0,0,10,0,0,0,0,0,1,239,6,1,1,1,0,1,0,2,12,0,516,504
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,13,St Joseph Lunga A Primary School,2600GON1306 A,0,407,3,0,0,0,0,1,0,0,0,0,0,0,224,1,0,0,0,1,0,0,0,10,0,647,637
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,13,St Joseph Lunga A Primary School,2600GON1306 B,3,434,4,0,0,0,1,4,0,0,0,0,1,0,197,0,0,0,1,2,0,1,0,12,0,660,648
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,13,St Joseph Lunga A Primary School,2600GON1306 C,2,414,0,0,0,1,0,2,0,0,0,0,0,0,208,0,1,2,0,0,0,2,0,7,0,639,632
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,13,St Joseph Lunga B Primary School,2600GON1307,2,347,5,0,0,0,2,1,0,0,0,0,0,1,294,3,0,0,0,1,0,1,0,11,0,668,657
,,,,9 Polling Stations,Ward Total,18,2470,18,0,0,4,7,29,0,2,0,0,1,5,2448,17,2,10,5,7,3,6,4,87,0,5143,5056
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,15,Chituri Business Centre Tent,2600GON1501,1,55,0,0,0,0,0,0,0,0,1,0,0,0,223,2,0,1,0,0,1,0,0,12,0,296,284
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,15,Dindimutiwi Primary School,2600GON1502,1,67,0,0,0,0,0,1,0,0,0,0,0,0,91,1,0,1,0,0,0,0,0,6,0,168,162
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,15,Kadzidirire Primary School,2600GON1503,0,137,1,0,1,0,0,0,0,0,0,0,0,1,499,0,0,1,1,0,0,0,0,11,0,652,641
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,15,Nyamuswawo Primary School,2600GON1504,8,328,4,0,1,3,2,9,0,1,0,1,0,3,350,6,2,1,0,0,1,3,0,22,0,745,723
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,15,Sumbe Secondary School,2600GON1505,3,127,2,0,0,2,0,6,0,1,0,0,0,0,278,0,0,2,0,0,1,0,1,7,0,430,423
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,15,Zharare Clinic Tent,2600GON1506,3,62,0,0,0,0,0,2,0,0,0,0,0,0,123,1,0,0,0,0,0,0,0,9,0,200,191
,,,,6 Polling Stations,Ward Total,16,776,7,0,2,5,2,18,0,2,1,1,0,4,1564,10,2,6,1,0,3,3,1,67,0,2491,2424
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,23,Kwaedza Primary School,2600GON2301,0,46,1,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,3,0,391,388
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,23,Shingayi Primary School,2600GON2302,2,64,1,0,0,0,2,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,3,0,368,365
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,23,Tsungai Primary School,2600GON2303,0,168,3,0,1,0,0,1,0,0,0,0,0,0,371,0,0,0,0,1,0,0,0,3,0,548,545
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,23,Village 2f Tent,2600GON2304,1,43,0,0,0,0,1,2,0,0,0,0,0,0,352,1,0,0,0,0,2,0,0,6,0,408,402
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,23,Village 8h Tent,2600GON2305,0,38,2,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0,0,0,0,1,9,0,382,373
,,,,5 Polling Stations,Ward Total,3,359,7,0,1,0,3,3,0,0,0,0,0,0,1692,1,0,0,0,1,2,0,1,24,0,2097,2073
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,24,Chomutara Borehole Tent,2600GON2401,0,69,0,0,0,0,0,1,1,0,0,0,0,0,99,0,0,0,0,0,0,0,0,2,0,172,170
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,24,Masvingo Dip Tank Tent,2600GON2402,0,54,1,0,0,0,0,1,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,1,0,216,215
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,24,Mupawa Primary School,2600GON2403,1,92,0,0,0,0,0,1,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,166,166
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,24,Ukomo Dip Tank Tent,2600GON2404,0,62,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,1,0,0,0,0,0,1,0,107,106
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,24,Ukomo Primary School,2600GON2405,2,52,0,0,0,0,0,1,0,0,0,0,0,0,147,1,0,0,0,0,0,0,0,0,0,203,203
,,,,5 Polling Stations,Ward Total,3,329,1,0,0,0,0,4,1,0,0,0,0,0,520,1,0,1,0,0,0,0,0,4,0,864,860
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,25,Copper Queen Secondary School,2600GON2501,1,65,0,0,0,1,1,2,0,0,0,0,0,0,67,1,0,0,0,0,0,0,0,4,0,142,138
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,25,Dewe Primary School,2600GON2502,1,108,0,0,0,0,0,0,0,0,0,0,0,1,147,0,0,0,1,0,0,0,0,2,0,260,258
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,25,Marowa Primary School,2600GON2503,1,37,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,4,0,163,159
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,25,Mpungwe Borehole Tent,2600GON2504,1,124,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,3,0,216,213
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,25,Rubatsiro Clinic Tent,2600GON2505,0,13,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1,0,1,0,0,44,44
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,25,Tongogara Primary School,2600GON2506,6,144,1,0,0,2,1,4,0,0,0,0,1,0,403,1,0,0,0,0,0,0,0,22,0,585,563
,,,,6 Polling Stations,Ward Total,10,491,1,0,0,3,2,6,0,0,0,0,1,1,855,2,0,0,1,0,1,0,1,35,0,1410,1375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,26,Chikarimatsito Primary School,2600GON2601,0,51,0,1,0,1,0,0,0,0,0,0,0,0,126,3,0,0,0,1,0,0,1,1,0,185,184
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,26,Chiyangwa Dip Tank Tent,2600GON2602,1,81,0,1,0,0,0,1,0,0,0,0,0,0,90,0,0,1,0,0,0,0,0,5,0,180,175
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,26,Mupakwa Borehole Tent,2600GON2603,0,43,1,1,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,172,172
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,26,Mutembera Borehole Tent,2600GON2604,1,36,1,0,0,0,0,1,0,1,0,0,0,0,195,2,0,0,0,0,0,0,1,0,0,238,238
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,26,Ungwe Primary School,2600GON2605,1,119,1,0,0,0,0,1,0,0,0,0,0,0,116,1,1,1,0,0,0,0,0,6,0,247,241
,,,,5 Polling Stations,Ward Total,3,330,3,3,0,1,0,3,0,1,0,0,0,0,654,6,1,2,0,1,0,0,2,12,0,1022,1010
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,36,Buno Primary School,2600GON3601,2,120,2,0,0,0,0,7,0,2,0,0,0,1,352,2,3,0,0,1,0,0,1,23,0,516,493
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,36,Mhumha Primary School,2600GON3602,4,204,1,0,0,0,2,9,0,2,2,1,0,1,509,4,1,2,0,0,1,2,1,19,0,765,746
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,36,Murwisi Borehole Tent,2600GON3603,0,175,0,0,0,1,2,3,0,0,0,0,0,0,380,1,1,1,0,0,0,2,0,9,0,575,566
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,36,Musorowenzou Business Centre Tent,2600GON3604,0,71,0,0,1,0,1,3,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,4,0,164,160
Gokwe North,Gokwe-Nembudziya,Gokwe North RDC,36,Nembudzia B Primary School,2600GON3605,8,231,2,0,0,1,0,3,0,0,0,0,0,0,251,1,0,0,0,0,0,1,0,16,0,514,498
,,,,5 Polling Stations,Ward Total,14,801,5,0,1,2,5,25,0,4,2,1,0,2,1576,8,5,3,0,1,1,5,2,71,0,2534,2463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gokwe Nembudziya Constituency Total,,,,,,96,7635,65,3,10,26,25,135,3,12,5,2,5,17,13124,70,14,33,12,14,15,19,18,425,0,21783,21358
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gokwe North District Total,,,,,,469,22118,266,31,59,256,129,668,40,54,31,45,34,105,62828,344,71,92,72,81,62,88,121,2072,0,90136,88064
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gokwe South,Gokwe Central,Gokwe South RDC,15,Bomba Business Centre Tent,2300GOS1501 A,4,204,2,0,0,0,0,3,1,0,0,0,0,0,241,0,0,0,4,0,0,0,0,1,0,460,459
Gokwe South,Gokwe Central,Gokwe South RDC,15,Bomba Business Centre Tent,2300GOS1501 B,0,157,1,0,1,1,0,10,2,1,0,0,1,0,262,2,0,0,0,2,1,2,1,5,0,449,444
Gokwe South,Gokwe Central,Gokwe South RDC,15,Gababe Primary School,2300GOS1502,13,331,11,1,2,7,4,14,1,2,0,0,2,1,334,11,1,3,5,2,3,0,1,19,0,768,749
Gokwe South,Gokwe Central,Gokwe South RDC,15,Gwehava Primary School,2300GOS1503,4,259,2,0,0,3,0,17,0,0,1,0,0,1,449,8,0,4,0,2,1,1,1,10,0,763,753
Gokwe South,Gokwe Central,Gokwe South RDC,15,Mapfumo Primary School,2300GOS1504 A,1,175,0,0,0,3,2,3,0,2,0,1,0,0,430,6,1,0,1,0,0,1,0,11,0,637,626
Gokwe South,Gokwe Central,Gokwe South RDC,15,Mapfumo Primary School,2300GOS1504 B,1,144,3,0,2,3,7,4,0,2,0,0,0,0,455,2,0,1,3,0,0,0,2,13,0,642,629
Gokwe South,Gokwe Central,Gokwe South RDC,15,Ngondoma Primary School,2300GOS1505 A,3,74,2,0,0,4,0,4,1,0,0,1,0,2,382,3,0,0,1,2,1,1,2,17,0,500,483
Gokwe South,Gokwe Central,Gokwe South RDC,15,Ngondoma Primary School,2300GOS1505 B,2,72,1,0,0,3,2,3,0,3,0,0,1,0,415,2,1,0,1,2,1,3,0,9,0,521,512
Gokwe South,Gokwe Central,Gokwe South RDC,15,Sengwa Primary School,2300GOS1506 A,1,300,1,0,1,2,2,9,0,0,0,0,2,4,145,8,1,0,0,3,1,3,3,14,0,500,486
Gokwe South,Gokwe Central,Gokwe South RDC,15,Sengwa Primary School,2300GOS1506 B,7,285,1,0,1,0,1,6,0,0,0,0,1,1,199,2,1,0,0,0,1,0,0,8,0,514,506
Gokwe South,Gokwe Central,Gokwe South RDC,15,Zhombe SDA Primary School,2300GOS1507,1,171,2,1,0,1,2,12,0,1,3,0,1,1,172,2,0,1,0,1,1,0,4,6,0,383,377
,,,,11 Polling Stations,Ward Total,37,2172,26,2,7,27,20,85,5,11,4,2,8,10,3484,46,5,9,15,14,10,11,14,113,0,6137,6024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gokwe South,Gokwe Central,Gokwe South RDC,19,Chegama Primary School,2300GOS1901,7,297,1,0,1,8,2,7,2,1,0,0,2,0,323,2,0,1,0,2,0,0,1,10,0,667,657
Gokwe South,Gokwe Central,Gokwe South RDC,19,Mateta 1 Primary School,2300GOS1902,9,200,2,0,0,9,5,7,0,1,0,0,1,2,277,0,0,0,0,0,0,1,2,9,0,525,516
Gokwe South,Gokwe Central,Gokwe South RDC,19,Mbumbuzi Business Centre Tent,2300GOS1903,5,98,1,1,1,0,0,2,0,0,0,1,0,0,124,0,0,1,3,1,0,0,1,7,0,246,239
Gokwe South,Gokwe Central,Gokwe South RDC,19,Mlalazi Primary School,2300GOS1904 A,4,171,2,0,2,0,0,6,0,0,0,2,1,1,214,1,0,1,2,0,1,2,0,12,0,422,410
Gokwe South,Gokwe Central,Gokwe South RDC,19,Mlalazi Primary School,2300GOS1904 B,4,174,2,0,0,3,2,2,1,1,0,0,0,1,196,2,0,0,3,2,2,0,2,11,0,408,397
Gokwe South,Gokwe Central,Gokwe South RDC,19,Nyaradza Secondary School,2300GOS1905 A,7,220,4,1,4,1,0,7,1,2,2,0,2,2,227,2,0,1,8,0,1,0,0,10,0,502,492
Gokwe South,Gokwe Central,Gokwe South RDC,19,Nyaradza Secondary School,2300GOS1905 B,10,207,2,2,4,1,4,7,3,0,1,0,3,0,214,1,2,1,13,1,1,1,0,9,0,487,478
Gokwe South,Gokwe Central,Gokwe South RDC,19,Sokwela Business Centre Tent,2300GOS1906,5,194,2,1,0,8,2,14,0,1,0,0,6,0,434,1,0,1,5,0,2,1,1,27,0,705,678
Gokwe South,Gokwe Central,Gokwe South RDC,19,Zaranyika Business Centre Tent,2300GOS1907,5,124,2,0,0,0,1,8,0,0,0,0,0,0,178,1,0,1,1,3,1,0,0,18,0,343,325
Gokwe South,Gokwe Central,Gokwe South RDC,19,Zanda Business Centre Tent,2300GOS1908,5,40,1,0,1,2,3,4,1,0,0,1,0,1,527,2,1,1,0,1,1,0,1,25,0,618,593
,,,,10 Polling Stations,Ward Total,61,1725,19,5,13,32,19,64,8,6,3,4,15,7,2714,12,3,8,35,10,9,5,8,138,0,4923,4785
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gokwe South,Gokwe Central,Gokwe South RDC,20,Batanayi Primary School,2300GOS2001,1,78,1,0,0,2,1,1,0,0,0,0,0,3,423,1,0,0,5,0,0,0,2,15,0,533,518
Gokwe South,Gokwe Central,Gokwe South RDC,20,Chikodzongo Business Centre Tent,2300GOS2002,2,5,1,0,0,4,0,0,0,0,0,0,0,0,310,0,0,0,0,0,1,0,2,6,0,331,325
Gokwe South,Gokwe Central,Gokwe South RDC,20,Gawa Business Centre Tent,2300GOS2003,5,55,1,0,1,2,1,1,2,0,3,0,0,0,459,0,1,0,4,1,0,1,1,12,0,550,538
Gokwe South,Gokwe Central,Gokwe South RDC,20,Ndhlalambi Primary School,2300GOS2004,5,193,3,2,0,5,2,12,2,0,0,1,3,2,426,7,0,0,6,1,1,3,1,20,0,695,675
Gokwe South,Gokwe Central,Gokwe South RDC,20,Sizanani Primary School,2300GOS2005,4,101,2,0,2,4,0,6,1,0,0,0,0,1,223,3,0,1,2,2,0,1,1,14,0,368,354
,,,,5 Polling Stations,Ward Total,17,432,8,2,3,17,4,20,5,0,3,1,3,6,1841,11,1,1,17,4,2,5,7,67,0,2477,2410
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gokwe South,Gokwe Central,Gokwe South RDC,32,Charama Cross Business Centre Tent,2300GOS3201,2,139,2,0,0,2,1,2,0,1,0,0,0,0,116,2,0,1,2,1,0,0,1,12,0,284,272
Gokwe South,Gokwe Central,Gokwe South RDC,32,Gawa Clinic,2300GOS3202,1,14,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,1,0,77,76
Gokwe South,Gokwe Central,Gokwe South RDC,32,Gawa Secondary School,2300GOS3203,4,157,2,0,0,2,0,4,0,0,0,0,0,1,180,3,2,2,2,0,1,0,0,6,0,366,360
Gokwe South,Gokwe Central,Gokwe South RDC,32,Gwetsanga Business Centre Tent,2300GOS3204,2,63,2,0,0,1,2,3,0,0,0,0,0,1,122,1,0,2,3,0,1,0,1,9,0,213,204
Gokwe South,Gokwe Central,Gokwe South RDC,32,Jororo Primary School,2300GOS3205,3,120,1,0,1,1,0,5,0,0,1,0,0,0,188,2,0,0,1,1,0,0,0,12,0,336,324
Gokwe South,Gokwe Central,Gokwe South RDC,32,Mukombegumi Business Centre Tent,2300GOS3206,3,99,1,0,0,0,1,4,2,0,1,0,0,0,103,0,0,1,0,2,0,0,0,4,0,221,217
Gokwe South,Gokwe Central,Gokwe South RDC,32,Sawi Secondary School,2300GOS3207,6,167,3,0,0,1,0,5,0,1,0,0,0,1,109,1,1,2,1,0,0,0,0,5,0,303,298
,,,,7 Polling Stations,Ward Total,21,759,11,0,1,7,4,23,2,2,2,0,0,3,879,9,3,8,9,4,2,0,2,49,0,1800,1751
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gokwe South,Gokwe Central,Gokwe Town Council,1,CZM Primary School,2301GTC0101,1,116,0,0,0,0,0,3,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,3,0,177,174
Gokwe South,Gokwe Central,Gokwe Town Council,1,Gokwe Primary School,2301GTC0102,0,82,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0,108,107
Gokwe South,Gokwe Central,Gokwe Town Council,1,Sasame Dip Tank Tent,2301GTC0103 A,0,295,0,0,0,0,2,0,0,1,1,0,0,0,129,0,0,2,1,1,0,0,0,1,0,433,432
Gokwe South,Gokwe Central,Gokwe Town Council,1,Sasame Dip Tank Tent,2301GTC0103 B,1,286,0,0,0,0,0,1,0,0,0,0,0,0,147,0,0,2,0,0,0,0,1,5,0,443,438
,,,,4 Polling Stations,Ward Total,2,779,0,0,0,0,2,4,0,1,1,0,0,0,355,0,0,4,1,1,0,0,1,10,0,1161,1151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gokwe South,Gokwe Central,Gokwe Town Council,2,New Rank Tent,2301GTC0201,0,33,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,46,45
Gokwe South,Gokwe Central,Gokwe Town Council,2,Njelele High School,2301GTC0202,0,129,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,4,0,155,151
Gokwe South,Gokwe Central,Gokwe Town Council,2,Salvation Army Church Tent,2301GTC0203 A,1,384,0,0,1,1,4,3,0,0,0,0,0,0,145,2,0,3,0,0,1,0,0,2,0,547,545
Gokwe South,Gokwe Central,Gokwe Town Council,2,Salvation Army Church Tent,2301GTC0203 B,1,387,0,0,0,0,4,4,0,0,0,0,1,0,160,0,1,0,0,0,1,0,1,2,0,562,560
,,,,4 Polling Stations,Ward Total,2,933,0,0,1,1,8,7,0,0,0,0,1,0,338,2,1,3,1,0,2,0,1,9,0,1310,1301
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gokwe South,Gokwe Central,Gokwe Town Council,3,Cheziya Tuckshop Tent,2301GTC0301,0,295,0,0,0,0,0,0,0,0,0,1,0,0,67,0,0,1,0,0,0,0,0,2,0,366,364
Gokwe South,Gokwe Central,Gokwe Town Council,3,Council Chamber,2301GTC0302,0,131,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,4,0,166,162
Gokwe South,Gokwe Central,Gokwe Town Council,3,Gokwe Hospital Tent,2301GTC0303,2,378,0,0,1,0,0,3,0,0,1,0,0,0,112,1,1,1,0,0,3,0,1,2,0,506,504
Gokwe South,Gokwe Central,Gokwe Town Council,3,Njelele Shopping Centre Tent,2301GTC0304 A,2,399,0,0,0,0,0,5,0,0,0,0,0,0,104,1,0,0,1,0,0,1,0,3,0,516,513
Gokwe South,Gokwe Central,Gokwe Town Council,3,Njelele Shopping Centre Tent,2301GTC0304 B,4,388,0,0,0,1,0,5,0,1,1,0,0,0,104,2,0,0,1,0,0,1,0,3,0,511,508
,,,,5 Polling Stations,Ward Total,8,1591,0,0,1,1,0,13,0,1,2,1,0,0,418,4,1,2,2,0,3,2,1,14,0,2065,2051
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gokwe South,Gokwe Central,Gokwe Town Council,4,Mapfungautsi Primary School,2301GTC0401,1,425,0,0,0,0,0,0,0,1,1,0,0,1,199,1,0,0,0,0,0,0,0,6,0,635,629
Gokwe South,Gokwe Central,Gokwe Town Council,4,Messenger of Court Tent,2301GTC0402,0,245,1,0,0,0,1,3,0,0,0,0,0,0,116,1,0,0,0,0,1,0,0,4,0,372,368
,,,,2 Polling Stations,Ward Total,1,670,1,0,0,0,1,3,0,1,1,0,0,1,315,2,0,0,0,0,1,0,0,10,0,1007,997
