MASHONALAND CENTRAL PROVINCE:  2018 HARMONISED PRESIDENTIAL ELECTION RESULTS: 30 JULY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,STATION CODE,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive Party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
National Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Bindura,Bindura North,Bindura Municipality,8,Aerodrome Open Space Tent B,0501BMU0801 B,0,412,0,0,0,0,0,3,0,0,0,0,0,0,202,0,0,0,3,1,0,0,0,0,0,621,621
Bindura,Bindura North,Bindura Municipality,8,Marian Primary School,0501BMU0802,3,572,1,0,0,0,0,1,0,1,0,0,0,0,225,0,0,0,6,1,0,0,0,2,0,812,810
,,,,3 Polling Stations,Ward Total,4,"1,397",2,0,0,0,1,4,0,1,0,0,0,0,604,3,0,0,12,3,0,0,0,6,0,"2,037","2,031"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura North,Bindura Municipality,9,Chiwaridzo New Building School A,0501BMU0901 A,1,349,1,0,0,0,0,2,0,0,0,0,0,0,205,0,0,0,3,1,0,1,0,5,0,568,563
Bindura,Bindura North,Bindura Municipality,9,Chiwaridzo New Building School B,0501BMU0901 B,0,360,1,0,0,1,0,4,0,0,1,0,0,0,202,0,0,1,2,0,0,0,0,6,0,578,572
Bindura,Bindura North,Bindura Municipality,9,Chiwaridzo New Service Centre,0501BMU0902,1,456,0,0,1,0,0,1,0,0,0,0,0,0,225,2,1,1,5,0,0,0,0,14,0,707,693
,,,,3 Polling Stations,Ward Total,2,"1,165",2,0,1,1,0,7,0,0,1,0,0,0,632,2,1,2,10,1,0,1,0,25,0,"1,853","1,828"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura North,Bindura Municipality,10,Chiwaridzo Bus Stop Tent A,0501BMU1001 A,2,417,1,0,0,0,0,1,0,0,0,0,1,0,167,1,0,0,1,0,0,0,0,2,0,593,591
Bindura,Bindura North,Bindura Municipality,10,Chiwaridzo Bus Stop Tent B,0501BMU1001 B,1,413,1,0,0,0,2,2,0,0,0,0,0,0,166,3,0,2,7,0,0,0,0,3,0,600,597
Bindura,Bindura North,Bindura Municipality,10,Hermann Gmeiner Seconadry School,0501BMU1002,0,543,1,0,0,0,0,3,0,0,0,0,0,0,207,0,0,1,5,0,1,0,0,5,0,766,761
,,,,3 Polling Stations,Ward Total,3,"1,373",3,0,0,0,2,6,0,0,0,0,1,0,540,4,0,3,13,0,1,0,0,10,0,"1,959","1,949"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura North,Bindura Municipality,11,Makwinja Open Space Tent A,0501BMU1101 A,1,268,1,1,0,0,1,1,0,0,0,0,0,0,236,1,0,1,11,0,1,0,0,4,0,527,523
Bindura,Bindura North,Bindura Municipality,11,Makwinja Open Space Tent B,0501BMU1101 B,0,299,0,0,0,0,1,3,0,0,0,0,0,0,218,0,1,1,3,0,0,0,0,1,0,527,526
Bindura,Bindura North,Bindura Municipality,11,Pamukuyu Open Space Tent,0501BMU1102,1,311,3,0,0,0,1,2,0,0,0,0,0,0,214,2,0,1,2,1,1,1,0,8,0,548,540
,,,,3 Polling Stations,Ward Total,2,878,4,1,0,0,3,6,0,0,0,0,0,0,668,3,1,3,16,1,2,1,0,13,0,"1,602","1,589"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura North,Bindura Municipality,12,Chiwaridzo (Pama china) Primary School A,0501BMU1201 A,0,282,0,0,0,0,0,0,0,0,0,0,0,0,167,0,1,2,1,0,0,0,0,4,0,457,453
Bindura,Bindura North,Bindura Municipality,12,Chiwaridzo (Pama china) Primary School B,0501BMU1201 B,0,342,0,0,0,1,0,3,1,0,0,0,0,0,140,1,0,0,0,2,0,0,0,3,0,493,490
Bindura,Bindura North,Bindura Municipality,12,Chiwaridzo 2 Shopping Centre Tent A,0501BMU1202 A,1,557,0,0,0,0,1,4,0,0,1,1,0,0,250,2,1,0,7,0,0,0,0,7,0,832,825
Bindura,Bindura North,Bindura Municipality,12,Chiwaridzo 2 Shopping Centre Tent B,0501BMU1202 B,2,524,0,0,0,1,0,1,0,0,0,0,0,0,263,0,0,1,3,0,0,0,1,10,0,806,796
Bindura,Bindura North,Bindura Municipality,12,Chiwaridzo 2 Shopping Centre Tent C,0501BMU1202 C,3,544,2,0,0,0,1,4,0,0,0,0,0,0,236,1,0,2,2,0,0,0,0,2,0,797,795
Bindura,Bindura North,Bindura Municipality,12,Garikayi Shopping Centre Tent,0501BMU1203,2,509,0,0,0,1,0,3,0,0,0,0,0,0,313,0,0,2,9,1,0,1,1,10,0,852,842
,,,,6 Polling Stations,Ward Total,8,"2,758",2,0,0,3,2,15,1,0,1,1,0,0,"1,369",4,2,7,22,3,0,1,2,36,0,"4,237","4,201"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura North,Bindura RDC,1,Banwell Farm Tent,0500BIN0101,0,3,0,0,0,0,0,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0,1,0,487,486
Bindura,Bindura North,Bindura RDC,1,Chumbere Primary School,0500BIN0102,1,6,1,0,0,0,0,0,0,0,0,0,0,0,539,0,0,0,1,0,0,0,0,0,0,548,548
Bindura,Bindura North,Bindura RDC,1,Dimitra Primary School,0500BIN0103,0,16,1,0,0,0,0,0,0,0,0,0,0,0,645,0,0,0,0,0,0,0,0,4,0,666,662
Bindura,Bindura North,Bindura RDC,1,Manga Primary School A,0500BIN0104 A,0,11,0,0,0,0,0,0,0,0,0,0,0,0,719,1,0,0,0,0,0,0,0,2,0,733,731
Bindura,Bindura North,Bindura RDC,1,Manga Primary School B,0500BIN0104 B,0,11,0,0,0,0,0,0,0,0,0,0,0,0,707,1,0,0,0,0,0,0,0,2,0,721,719
,,,,5 Polling Stations,Ward Total,1,47,2,0,0,0,0,0,0,0,0,0,0,0,"3,093",2,0,0,1,0,0,0,0,9,0,"3,155","3,146"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura North,Bindura RDC,2,Aschott Primary School,0500BIN0201,0,12,0,0,0,2,0,0,0,0,0,0,0,0,459,1,0,0,0,0,0,0,0,3,0,477,474
Bindura,Bindura North,Bindura RDC,2,Azikara Farm Tent,0500BIN0202,0,8,0,0,0,0,0,0,0,0,0,0,0,1,416,0,0,0,3,0,1,0,0,1,0,430,429
Bindura,Bindura North,Bindura RDC,2,Frinton Farm Tent,0500BIN0203,0,6,0,0,0,0,0,0,0,0,0,0,0,0,517,0,0,0,0,0,0,0,0,3,0,526,523
