Chimanimani,Chimanimani East,Chimanimani RDC,21,Mutsangazi Ddf Camp Tent,4400CHM2104,3,137,2,1,0,1,1,2,0,0,1,0,2,1,120,3,0,0,1,0,2,1,0,7,0,285,278
Chimanimani,Chimanimani East,Chimanimani RDC,21,Ndakopa Primary School,4400CHM2105,3,117,0,0,0,0,1,2,0,0,0,0,0,0,179,3,1,0,0,0,0,3,0,7,0,316,309
Chimanimani,Chimanimani East,Chimanimani RDC,21,Ndima Secondary School,4400CHM2106,2,112,0,0,0,1,0,1,0,0,0,0,0,0,160,1,0,0,0,0,0,0,0,7,0,284,277
Chimanimani,Chimanimani East,Chimanimani RDC,22,Muganga Business Centre Tent,4400CHM2201,1,132,1,0,0,0,0,3,1,0,0,0,0,0,87,0,0,0,1,0,1,1,0,6,0,234,228
Chimanimani,Chimanimani East,Chimanimani RDC,22,Hlabiso Secondary School,4400CHM2202,2,314,2,2,0,1,2,7,0,0,0,0,2,1,357,2,1,1,0,0,0,0,0,8,0,702,694
Chimanimani,Chimanimani East,Chimanimani RDC,22,Muchadziya Primary School,4400CHM2203,2,172,2,1,1,2,1,4,0,0,0,0,0,0,193,1,0,2,0,1,1,0,0,3,0,386,383
Chimanimani,Chimanimani East,Chimanimani RDC,22,Vhimba Primary School,4400CHM2204,10,121,5,0,1,3,0,6,1,1,1,0,0,2,227,4,1,1,1,0,0,0,2,12,0,399,387
Chimanimani,Chimanimani East,Chimanimani RDC,22,Makina Business Centre Tent,4400CHM2205,8,145,1,0,0,0,3,3,1,0,0,0,0,0,148,0,1,0,0,0,0,0,0,11,0,321,310
Chimanimani,Chimanimani East,Chimanimani RDC,22,Makina 2 Tent,4400CHM2206,2,83,0,0,0,0,0,0,0,0,0,0,0,0,93,2,1,0,0,0,0,0,1,5,0,187,182
Chimanimani,Chimanimani East,Chimanimani RDC,22,Matyukira Business Centre Tent,4400CHM2207,7,142,3,0,0,2,1,5,0,0,1,0,1,2,249,1,0,2,0,0,0,0,1,7,0,424,417
Chimanimani,Chimanimani East,Chimanimani RDC,23,Demeni Primary School,4400CHM2301,2,101,0,1,0,1,1,5,0,1,1,0,0,1,82,1,0,0,0,0,1,0,0,3,0,201,198
