Extra votes, DISTRICT,CONSTITUENCY,LOCAL AUTHORITY,WARD NO.,POLLING STATION,STATION CODE,Busha Joseph Makamba,Chamisa Nelson,Chikanga  Everisto Washington,Dzapasi Melbah ,Gava Peter Mapfumo ,Hlabangana Kwanele,Kasiyamhuru Blessing,Khupe Thokozani,Madhuku Lovemore,Mangoma Elton Steers,Manyika Noah Ngoni,Mapfumo Chiguvare Tonderayi Johannes Timothy,MARIYACHA Violet,Mhambi-Hove Divine,Mnangagwa Emmerson Dambudzo,Moyo Donald Nkosana ,Mteki Bryn Taurai,Mugadza Willard Tawonezvi,Mujuru Joice Teurai Ropa,Munyanduri Tenda Peter,MutinhirI Ambrose,Shumba Kuzozvirava Doniel,Wilson Peter Harry,Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
1,Bulawayo,Bulawayo South,Bulawayo Municipality,6,Barham Green Primary School,0801BYO0602,0,544,1,0,0,0,1,12,0,0,1,0,0,0,194,9,0,0,3,0,1,0,0,6,1,772,766
1,Bulawayo,Bulawayo South,Bulawayo Municipality,21,Masuku A Primary School B,0801BYO2109 B,1,322,1,0,1,0,2,12,0,0,0,1,0,0,124,0,0,2,1,0,0,0,0,2,1,469,467
1,Bulawayo,Emakhandeni-Entumbane,Bulawayo Municipality,11,Emakhandeni A Secondary School A,0801BYO1105 A,2,313,1,0,1,1,0,7,1,1,0,0,0,0,101,1,0,1,2,0,2,0,0,5,1,439,434
1,Bulawayo,Lobengula,Bulawayo Municipality,14,Inkanyezi Primary School A,0801BYO1401 A,4,532,0,0,0,3,2,10,0,0,0,1,1,1,244,1,1,1,4,0,0,1,2,4,1,812,808
1,Bulawayo,Luveve,Bulawayo Municipality,28,Mahlathini A Primary School B,0801BYO2819 B,1,523,3,0,2,2,0,22,0,0,0,0,0,0,164,1,0,0,3,1,1,0,0,7,1,730,723
1,Bulawayo,Nketa,Bulawayo Municipality,25,Nketa 7 Library A,0801BYO2508 A,1,283,0,0,1,1,1,11,0,0,0,0,0,0,166,3,0,1,1,0,0,0,1,2,1,472,470
1,Bulawayo,Nkulumane,Bulawayo Municipality,23,Mgombane Primary School A,0801BYO2301 A,0,330,1,0,0,0,1,15,0,0,0,0,0,0,142,1,1,0,3,0,2,1,0,5,1,502,497
2,Bulawayo,Nkulumane,Bulawayo Municipality,23,Munyoro Shopping Centre Tent,0801BYO2302,2,468,1,0,1,4,1,19,0,0,0,0,1,0,175,1,0,0,4,2,0,0,0,2,2,681,679
1,Bulawayo,Nkulumane,Bulawayo Municipality,23,Nkulumane 10 Bus Terminus Tent A,0801BYO2303 A,1,287,0,0,1,0,0,13,0,0,0,0,0,0,123,1,0,1,8,1,0,1,0,0,1,437,437
2,Bulawayo,Pumula,Bulawayo Municipality,17,Malindela A Primary School,0801BYO1707,3,487,2,0,0,3,1,37,1,1,0,0,0,1,231,0,0,0,2,2,1,1,0,9,2,782,773
1,Bulawayo,Pumula,Bulawayo Municipality,17,Pumula High School,0801BYO1710,1,421,0,1,0,3,1,30,0,0,0,0,0,0,228,2,0,1,0,1,0,0,0,1,1,690,689
1,Bulawayo,Pumula,Bulawayo Municipality,17,St Peter Primary School,0801BYO1714,5,156,0,0,1,1,1,47,0,0,0,0,0,1,150,1,0,1,2,0,1,1,1,3,1,372,369
1,Bulawayo,Pumula,Bulawayo Municipality,27,Dumezweni A Primary School A,0801BYO2701 A,1,521,3,0,0,1,0,12,1,0,0,0,0,0,209,3,0,0,2,1,0,0,1,9,1,764,755
1,Bulawayo,Pumula,Bulawayo Municipality,27,Premier High School,0801BYO2706,1,482,1,0,0,9,4,25,0,0,0,0,1,0,167,6,0,2,2,0,1,0,0,3,1,704,701
1,Chipinge,Chipinge Central,Chipinge RDC,9,Ndiyadzo Primary School,1300CPG0902,2,74,0,0,1,3,0,0,1,1,0,1,0,0,444,0,0,0,0,1,0,0,0,12,1,540,528
1,Makoni,Makoni RDC,Makoni North,5,Kapiya Business Centre Tent,4200MKI0504,5,232,2,0,0,2,0,8,0,2,0,0,0,0,236,1,0,0,0,0,1,0,0,4,1,493,489
1,Mutasa,Mutasa Central ,Mutasa RDC,13,Triashill Mission Primary School,5000MTS1303,0,361,4,1,0,3,1,9,1,1,0,0,0,0,229,3,0,1,0,1,0,0,0,8,1,623,615
1,Mutare,Mutare Central,Mutare Municipality,5,Boys Club Tent A,7501MUM0501 A,1,442,0,0,0,0,0,2,1,0,0,0,0,0,127,0,0,0,4,0,0,0,0,4,1,581,577
1,Mutare,Mutare North,Mutare RDC,11,Masase Business Centre Tent,7500MTR1103,2,191,0,1,0,0,0,4,0,1,0,0,0,0,198,0,0,1,1,0,0,1,1,7,1,408,401
1,Mutare,Mutare South,Mutare RDC,15,Chishakwe Primary School B,7500MTR1501 B,8,378,6,0,2,4,1,10,1,3,0,0,0,0,254,4,0,3,1,3,1,3,2,15,1,699,684
1,Mutare,Mutare West,Mutare RDC,18,Karirwi Primary School,7500MTR1801,2,222,5,0,0,0,0,7,0,0,0,0,0,1,485,3,2,0,2,0,0,0,0,16,1,745,729
1,Nyanga,Nyanga North,Nyanga RDC,3,Mukunza Primary School A,3400NGA0303 A,5,109,2,0,1,2,0,6,1,0,0,0,0,0,305,1,0,2,1,0,0,2,1,9,1,447,438
1,Chitungwiza,Chitungwiza North,Chitungwiza Municipality,25,Unit G Extension - Open Space at Shops Tent A,6301CHIT2504 A,0,460,0,0,0,0,2,4,0,0,0,0,0,0,146,1,0,0,1,0,0,0,0,3,1,617,614
1,Chitungwiza,Zengeza East,Chitungwiza Municipality,15,Seke 1 High School B,6301CHIT1504 B,1,478,0,0,1,0,1,1,0,0,2,0,0,0,268,2,0,1,1,0,0,0,1,5,1,762,757
1,Harare,Epworth,Epworth Local Board,2,Epworth Local Board A,6301EPW0201 A,0,374,0,0,0,1,1,3,1,1,0,0,1,0,339,0,1,0,1,0,4,1,0,7,1,735,728
1,Harare,Epworth,Epworth Local Board,2,Epworth Local Board B,6301EPW0201 B,1,386,1,1,0,0,0,5,0,0,0,0,0,0,317,0,0,0,2,0,0,0,0,10,1,723,713
1,Harare,Epworth,Epworth Local Board,6,Chinamano A Primary School A,6301EPW0601 A,3,476,4,0,1,0,1,3,0,0,1,0,1,0,210,2,0,0,2,0,0,1,0,12,1,717,705
2,Harare,Epworth,Epworth Local Board,7,Mabvazuva Secondary School B A,6301EPW0705 A,2,444,0,2,1,0,1,13,2,1,0,0,0,0,308,1,0,0,1,0,0,0,1,16,2,793,777
1,Harare,Glenview North,Harare Municipality,30,Kana Lane Tent,6301HRE3008,0,422,0,0,0,0,0,2,0,0,0,0,0,0,51,0,0,0,1,0,0,0,0,3,1,479,476
2,Harare,Harare South,Harare Municipality,1,Padhirihori (Eyrestone ) Farm Tent A,6301HRE0120 A,0,332,1,1,1,1,0,1,0,1,0,0,0,0,433,1,0,1,0,1,1,1,1,3,2,780,777
1,Harare,Harare West,Harare Municipality,41,Marlborough District Office A,6301HRE4103 A,0,640,0,0,0,1,0,3,0,0,0,0,0,0,234,4,0,1,3,0,0,0,1,1,1,888,887
1,Harare,Hatfield,Harare Municipality,22,Caledon Shopping Centre Tent A,6301HRE2202 A,2,531,0,0,0,1,0,0,0,0,1,0,1,0,193,2,0,0,1,0,0,1,0,8,1,741,733
1,Harare,Mabvuku-Tafara,Harare Municipality,19,Tinokwirira ZimCare Trust School B,6301HRE1906 B,0,560,0,0,0,0,0,0,0,0,1,0,0,0,140,1,0,0,0,0,0,0,0,6,1,708,702
1,Chegutu,Chegutu West,Chegutu RDC,24,Rogate Primary School,3200CHE2404,1,109,1,0,1,2,1,4,1,0,0,0,0,0,592,0,0,2,1,0,1,0,1,13,1,730,717
2,Hurungwe,Hurungwe West,Hurungwe RDC,25,Musukwi Primary School,3800HUR2507,3,205,4,0,2,2,0,3,1,1,0,0,3,1,410,3,0,2,0,1,0,0,4,30,2,675,645
1,Makonde,Makonde,Makonde RDC,16,Godzi Primary School,7000MAK1601,8,137,3,0,1,1,0,2,0,0,0,0,1,1,245,2,1,0,1,0,2,3,5,19,1,432,413
1,Mhondoro-Ngezi,Muzvezve,Mhondoro-Ngezi RDC,12,Sable Ranch Primary School,1000MNG1205,1,23,0,0,2,2,0,0,0,0,2,0,0,0,396,2,0,1,1,0,2,1,0,6,1,439,433
1,Sanyati,Chakari,Sanyati RDC,3,Dalny 2 Primary School,2400SAN0305 A,6,208,2,2,1,2,0,5,2,0,1,1,0,0,429,0,0,1,0,3,1,0,1,9,1,674,665
2,Zvimba,Zvimba North,Zvimba RDC,18,Dalkeith/Chidziva Primary School,8600ZVI1803,5,129,0,0,1,3,3,1,1,0,1,0,0,0,476,0,0,3,4,1,0,1,0,10,2,639,629
1,Zvimba,Zvimba South,Zvimba RDC,3,Mupumbu Primary School,8600ZVI0306,9,307,7,0,2,3,4,12,1,0,0,0,0,2,420,9,1,2,3,0,2,0,1,12,1,797,785
2,Zvimba,Zvimba South,Zvimba RDC,21,Shirleigh Farm Tent,8600ZVI2112,0,78,0,0,0,0,0,2,0,0,0,0,0,0,175,1,0,0,0,0,4,0,2,6,2,268,262
