DISTRICT,CONSTITUENCY,LOCAL AUTHORITY,WARD NO,POLLING STATION,STATION CODE,Busha Joseph Makamba,Chamisa Nelson,Chikanga  Everisto Washington,Dzapasi Melbah ,Gava Peter Mapfumo ,Hlabangana Kwanele,Kasiyamhuru Blessing,Khupe Thokozani,Madhuku Lovemore,Mangoma Elton Steers,Manyika Noah Ngoni,Mapfumo Chiguvare Tonderayi Johannes Timothy,MARIYACHA Violet,Mhambi-Hove Divine,Mnangagwa Emmerson Dambudzo,Moyo Donald Nkosana ,Mteki Bryn Taurai,Mugadza Willard Tawonezvi,Mujuru Joice Teurai Ropa,Munyanduri Tenda Peter,MutinhirI Ambrose,Shumba Kuzozvirava Doniel,Wilson Peter Harry,Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Mangwe,Mangwe,Mangwe RDC,13,Embakwe Community Hall,5600MAN1301,2,188,3,0,1,1,0,6,0,1,1,0,1,0,96,0,1,1,0,0,0,1,1,8,0,312,304
Mangwe,Mangwe,Mangwe RDC,13,Entenjaneni Business Centre Tent,5600MAN1302,0,92,1,0,0,0,0,2,2,0,0,0,0,2,152,0,0,1,1,0,0,1,0,8,0,262,254
Mangwe,Mangwe,Mangwe RDC,13,Phakamani Community Hall Tent,5600MAN1303,0,84,4,0,0,2,2,2,1,0,0,0,0,0,172,0,0,0,0,2,2,1,1,4,0,277,273
Mangwe,Mangwe,Mangwe RDC,13,Silima Primary School,5600MAN1304,5,58,2,0,2,3,0,3,1,0,1,0,1,0,135,2,1,1,0,0,0,0,0,0,0,215,215
Mangwe,Mangwe,Mangwe RDC,14,Nguwanyana Primary School,5600MAN1401,1,204,1,0,0,2,1,6,0,0,0,0,0,1,86,2,0,0,1,1,0,2,1,2,0,311,309
Mangwe,Mangwe,Mangwe RDC,14,Zwimumoyo Business Centre Tent,5600MAN1402,3,116,1,0,0,1,2,13,0,1,2,0,0,0,150,1,0,1,1,1,2,0,0,1,0,296,295
Mangwe,Mangwe,Mangwe RDC,15,Mabuledi Primary School,5600MAN1501,7,271,7,1,1,4,4,10,0,2,1,1,2,0,151,4,0,1,0,0,4,2,0,8,0,481,473
Mangwe,Mangwe,Mangwe RDC,15,Makhubu Primary School,5600MAN1502,3,134,6,0,0,6,3,17,1,2,2,0,0,3,189,3,2,2,1,4,4,1,3,22,0,408,386
Mangwe,Mangwe,Mangwe RDC,15,Nkedile Primary School,5600MAN1503,8,149,3,0,1,4,0,7,0,0,1,0,0,0,119,0,0,1,1,0,1,1,0,5,0,301,296
Mangwe,Mangwe,Mangwe RDC,15,Patse Primary School,5600MAN1504,2,165,0,1,1,1,1,13,0,1,0,0,1,0,39,0,0,0,1,0,0,0,1,6,0,233,227
Mangwe,Mangwe,Mangwe RDC,16,Hobodo Primary School,5600MAN1601,2,100,6,0,2,5,1,11,0,0,2,0,4,4,394,3,3,2,2,0,2,1,1,16,0,561,545
Mangwe,Mangwe,Mangwe RDC,16,Khalanyoni High School,5600MAN1602,2,168,5,0,2,0,1,6,0,0,1,0,0,2,60,1,0,2,0,0,0,4,1,5,0,260,255
Mangwe,Mangwe,Mangwe RDC,16,Nswiliswili Pre-School,5600MAN1603,5,81,9,0,0,4,1,9,2,0,2,0,0,6,130,5,0,0,2,2,1,1,3,13,0,276,263
Mangwe,Mangwe,Mangwe RDC,17,Makorokoro Primary School,5600MAN1701,5,183,4,0,2,4,1,14,2,1,0,0,0,0,163,2,0,3,0,0,2,0,1,7,0,394,387
Mangwe,Mangwe,Mangwe RDC,17,Mkologwe Primary School,5600MAN1702,0,81,2,0,0,0,2,11,2,1,1,0,1,0,34,2,0,1,0,2,0,1,1,2,0,144,142
Mangwe,Mangwe,Mangwe RDC,17,New Dam Pre-School Tent,5600MAN1703,1,77,4,1,0,1,4,8,1,0,1,1,2,1,91,2,2,3,1,1,2,0,1,7,0,212,205
Mangwe,Mangwe,Mangwe RDC,17,Tjedza Primary School,5600MAN1704,0,125,4,1,0,1,4,6,0,0,0,1,1,0,97,2,0,0,2,0,2,0,1,4,0,251,247
Matobo,Matobo North,Matobo RDC,11,Gubula Primary School,3900MTB1101,3,36,1,0,0,2,0,11,0,0,0,0,0,0,132,1,1,1,0,1,0,0,0,4,0,193,189
Matobo,Matobo North,Matobo RDC,11,Mbembeswana Primary School,3900MTB1102,5,93,3,1,4,5,0,27,2,0,1,1,2,2,273,3,2,1,2,1,1,1,1,13,0,444,431
Matobo,Matobo North,Matobo RDC,11,Mbuso Primary School,3900MTB1103,6,44,2,0,0,0,1,22,0,0,1,0,2,1,209,1,3,1,2,1,0,0,1,7,0,304,297
Matobo,Matobo North,Matobo RDC,12,Mloyi Primary School,3900MTB1201,5,159,2,0,0,0,0,10,1,0,0,0,1,4,109,2,0,1,0,1,0,0,1,5,0,301,296
Matobo,Matobo North,Matobo RDC,12,Silonkwe Primary School,3900MTB1202,1,61,1,0,1,3,1,9,0,0,0,0,1,0,265,1,1,0,0,2,0,1,1,11,0,360,349
Matobo,Matobo North,Matobo RDC,12,Sontala Primary  School,3900MTB1203,2,177,2,0,0,3,2,21,1,0,0,1,0,0,324,3,0,3,0,2,2,0,4,19,0,566,547
Matobo,Matobo North,Matobo RDC,13,Kezi Primary School,3900MTB1301,2,173,4,0,0,1,2,15,0,1,0,0,0,0,228,4,0,1,0,2,0,2,1,8,0,444,436
Matobo,Matobo North,Matobo RDC,13,Manyane Primary School,3900MTB1302,1,155,4,0,3,3,0,7,0,0,1,1,0,2,252,0,1,3,3,1,0,0,2,5,0,444,439
Matobo,Matobo North,Matobo RDC,13,Mt Edgecombe Primary School,3900MTB1303,1,31,2,0,0,4,0,1,2,0,0,0,0,2,235,1,1,1,0,1,1,0,0,2,0,285,283
Matobo,Matobo North,Matobo RDC,14,Donkwedonkwe Secondary School,3900MTB1401,4,167,7,1,3,7,0,12,1,0,1,0,0,0,225,4,0,1,1,2,2,5,0,12,0,455,443
Matobo,Matobo North,Matobo RDC,14,Mangala Primary School,3900MTB1402,6,215,2,1,0,3,2,10,0,0,0,0,1,1,176,7,0,0,0,2,2,1,0,15,0,444,429
Matobo,Matobo North,Matobo RDC,14,Shashane Secondary School,3900MTB1403,0,239,4,1,1,0,0,18,0,0,0,0,0,1,153,2,1,2,2,1,0,0,1,10,0,436,426
Matobo,Matobo North,Matobo RDC,15,Lukadzi Primary School,3900MTB1501,4,335,1,1,2,3,1,24,1,0,0,0,1,0,89,6,1,4,3,3,2,0,4,11,0,496,485
Matobo,Matobo North,Matobo RDC,15,Tohwe Secondary School A,3900MTB1502 A,5,265,4,0,0,3,0,18,2,0,0,0,0,0,167,1,0,1,4,2,2,2,1,7,0,484,477
Matobo,Matobo North,Matobo RDC,15,Tohwe Secondary School B,3900MTB1502 B,1,320,2,0,1,1,0,10,0,0,0,0,0,0,135,2,1,4,0,1,2,1,1,4,,486,482
Matobo,Matobo North,Matobo RDC,16,Gwandavale Primary School,3900MTB1601,1,186,1,0,0,0,1,7,0,0,2,0,0,0,192,0,0,1,2,3,0,0,1,9,0,406,397
Matobo,Matobo North,Matobo RDC,16,Nduna Primary School,3900MTB1602,5,237,2,1,1,1,1,13,0,0,1,4,0,0,155,2,0,1,2,1,4,1,0,13,0,445,432
Matobo,Matobo North,Matobo RDC,16,Silozwe Primary School,3900MTB1603,2,282,6,0,0,9,0,21,1,0,2,1,2,4,349,2,0,5,4,2,3,4,1,13,0,713,700
Matobo,Matobo North,Matobo RDC,17,Halale Primary School,3900MTB1701,2,94,2,0,0,1,1,4,0,0,0,0,0,0,111,2,0,2,0,0,2,0,2,4,0,227,223
Matobo,Matobo North,Matobo RDC,17,Njelele Primary School,3900MTB1702,2,181,3,0,0,3,2,7,3,0,0,0,0,1,209,1,1,4,2,5,2,2,3,7,0,438,431
Matobo,Matobo North,Matobo RDC,17,Whitewater Primary School,3900MTB1703,1,266,0,0,0,1,0,25,1,2,1,0,0,2,195,3,0,1,0,1,4,0,0,7,0,510,503
Matobo,Matobo North,Matobo RDC,18,Bazha Secondary School,3900MTB1801,2,152,2,1,0,3,3,9,0,2,0,0,0,1,189,4,0,3,2,1,2,2,2,8,0,388,380
Matobo,Matobo North,Matobo RDC,18,Fumugwe Primary School,3900MTB1802,3,313,4,0,0,2,0,23,2,1,1,0,0,1,133,3,1,1,2,0,0,1,2,10,0,503,493
Matobo,Matobo North,Matobo RDC,18,Mazhayimbe Primary School,3900MTB1803,0,95,2,0,0,0,0,4,0,0,0,0,0,0,187,1,1,1,0,0,1,0,0,4,0,296,292
Matobo,Matobo North,Matobo RDC,19,Mbuya Primary School,3900MTB1901,4,141,2,0,0,1,1,10,3,0,0,1,1,1,121,2,0,0,1,1,0,0,1,7,0,298,291
Matobo,Matobo North,Matobo RDC,19,Minda Primary School A,3900MTB1902 A,1,361,4,0,0,2,1,15,1,0,1,2,2,2,210,6,1,1,0,0,0,1,1,10,0,622,612
Matobo,Matobo North,Matobo RDC,19,Minda Primary School B,3900MTB1902 B,1,383,5,1,1,6,2,29,2,0,2,1,0,0,183,2,0,3,0,2,4,0,2,8,0,637,629
Matobo,Matobo North,Matobo RDC,19,Zamanyoni Primary School,3900MTB1903,3,82,1,0,0,4,1,16,0,0,0,0,0,0,147,1,2,1,1,2,0,1,0,5,0,267,262
Matobo,Matobo North,Matobo RDC,21,Makupa Primary School,3900MTB2101,0,8,0,0,0,0,0,1,1,0,0,0,0,0,162,0,0,0,0,0,0,0,0,3,0,175,172
Matobo,Matobo North,Matobo RDC,21,Mashaladze Primary School,3900MTB2102,0,2,0,0,0,0,1,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,,62,62
Matobo,Matobo North,Matobo RDC,21,Pagati Primary School,3900MTB2103,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
Matobo,Matobo North,Matobo RDC,21,Polimagama Primary School,3900MTB2104,0,9,0,0,0,0,1,1,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,3,0,90,87
Matobo,Matobo North,Matobo RDC,22,Old Antelope Hospital,3900MTB2201,4,148,0,0,0,3,0,6,0,1,0,0,0,0,287,3,2,1,0,0,0,0,0,10,0,465,455
Matobo,Matobo North,Matobo RDC,23,Sibuntule Primary School,3900MTB2301,0,6,2,0,0,0,0,0,0,0,0,0,0,0,143,1,0,0,0,0,0,0,0,2,0,154,152
Matobo,Matobo North,Matobo RDC,23,Vimbi Resettlement Tent,3900MTB2302,0,5,0,1,0,0,0,1,0,1,0,0,0,0,136,0,0,0,0,0,1,0,0,1,0,146,145
Matobo,Matobo North,Matobo RDC,24,Jeqe Business Centre Tent,3900MTB2401,0,13,2,0,0,0,0,0,0,0,0,0,0,0,147,2,0,0,1,1,0,0,0,2,0,168,166
Matobo,Matobo North,Matobo RDC,24,Matopos Primary School,3900MTB2402,1,54,1,0,0,1,0,6,0,0,0,0,0,0,246,1,1,0,0,0,0,1,0,2,0,314,312
Matobo,Matobo North,Matobo RDC,24,Sydney Malunga Primary School,3900MTB2403,0,9,0,0,0,0,0,0,0,0,0,0,0,0,194,1,0,1,0,0,0,1,0,2,0,208,206
Matobo,Matobo North,Matobo RDC,25,Ekukhanyeni Clinic,3900MTB2501,0,51,1,0,0,2,0,2,0,0,0,0,0,0,152,2,0,1,0,1,0,0,1,7,0,220,213
Matobo,Matobo North,Matobo RDC,25,Fort Usher Primary School,3900MTB2502,0,48,3,0,0,0,0,3,0,0,0,0,0,0,43,0,0,1,0,0,0,0,0,2,0,100,98
Matobo,Matobo North,Matobo RDC,25,Matopos Research Primary School,3900MTB2503,2,296,0,0,0,3,3,10,0,1,0,0,0,1,161,0,0,2,1,1,1,0,0,7,0,489,482
Matobo,Matobo North,Matobo RDC,25,Mgadla Primary School,3900MTB2504,3,119,7,2,2,2,3,8,1,0,1,1,0,2,472,6,0,3,1,0,5,1,2,8,0,649,641
Umzingwane,Matobo North,Umzingwane RDC,9,Dobi Primary School,8700UMZ0901,0,139,1,0,0,0,1,8,2,0,0,0,0,1,91,2,0,1,1,1,0,1,0,6,0,255,249
Umzingwane,Matobo North,Umzingwane RDC,9,Gabheni Cultural Village Tent,8700UMZ0902,1,76,0,0,1,0,0,4,0,0,1,1,0,2,110,0,0,1,0,1,2,0,0,10,0,210,200
Umzingwane,Matobo North,Umzingwane RDC,9,Zodula Business Centre Tent,8700UMZ0903,3,117,0,1,0,1,1,6,0,0,0,0,0,0,150,1,0,1,0,0,0,0,2,9,0,292,283
Matobo,Matobo South,Matobo RDC,1,Cobeni Primary School,3900MTB0101,4,148,1,0,2,2,0,12,1,0,0,1,0,0,140,2,0,0,1,1,1,0,1,7,0,324,317
Matobo,Matobo South,Matobo RDC,1,Kafusi Primary School,3900MTB0102,3,142,3,0,1,2,1,7,1,0,1,1,0,0,175,3,0,3,2,0,0,1,1,4,0,351,347
Matobo,Matobo South,Matobo RDC,1,Lubhangwe Secondary School,3900MTB0103,2,253,8,0,0,4,0,20,1,0,1,0,0,1,276,3,0,2,0,1,2,4,1,2,0,581,579
Matobo,Matobo South,Matobo RDC,2,Dry-paddock Primary School A,3900MTB0201 A,3,85,9,1,0,5,0,12,0,0,1,1,1,0,248,2,3,0,3,1,2,2,1,12,0,392,380
Matobo,Matobo South,Matobo RDC,2,Dry-paddock Primary School B,3900MTB0201 B,9,94,4,0,4,4,1,6,1,0,1,0,1,1,260,2,0,0,2,1,0,1,0,8,0,400,392
Matobo,Matobo South,Matobo RDC,2,Sinkamaswe Primary School,3900MTB0202,3,131,9,0,1,0,0,11,2,1,1,1,1,1,218,2,0,2,0,1,1,3,0,6,0,395,389
Matobo,Matobo South,Matobo RDC,2,Tudi 1 Primary School,3900MTB0203,1,134,5,2,0,2,3,5,1,1,1,0,0,0,344,3,0,2,1,3,0,3,1,7,0,519,512
Matobo,Matobo South,Matobo RDC,3,Gohole Primary School,3900MTB0301,2,355,3,0,1,1,1,11,1,0,3,1,0,0,406,1,0,5,1,1,3,1,0,8,0,805,797
Matobo,Matobo South,Matobo RDC,3,Homestead Primary School,3900MTB0302,2,233,5,0,1,1,1,12,2,0,0,0,0,0,96,2,0,0,2,0,1,0,0,4,0,362,358
Matobo,Matobo South,Matobo RDC,4,Mashumba Primary School,3900MTB0401,0,141,1,0,0,2,0,5,0,0,1,1,0,0,116,1,1,0,0,0,0,1,0,4,0,274,270
Matobo,Matobo South,Matobo RDC,4,Maribeha Primary School,3900MTB0402,3,312,7,0,1,2,1,13,1,0,1,0,0,0,404,6,1,3,0,0,1,2,0,11,0,769,758
Matobo,Matobo South,Matobo RDC,4,Ratanyana Primary School,3900MTB0403,6,206,2,0,1,2,0,14,0,0,1,0,1,1,227,0,0,2,0,0,2,0,0,4,0,469,465
Matobo,Matobo South,Matobo RDC,4,Zwehamba Primary School,3900MTB0404,1,186,1,0,1,0,0,6,0,0,0,1,0,0,185,2,0,1,0,0,0,0,0,6,0,390,384
Matobo,Matobo South,Matobo RDC,5,Beula Clinic Tent,3900MTB0501,1,181,3,0,1,2,2,16,0,2,2,0,1,2,60,4,1,1,0,0,0,1,0,12,0,292,280
Matobo,Matobo South,Matobo RDC,5,Beula Primary School,3900MTB0502,4,178,3,0,1,0,0,8,0,0,0,1,0,1,222,7,0,0,0,1,2,1,1,8,0,438,430
Matobo,Matobo South,Matobo RDC,5,Mzila Primary School,3900MTB0503,2,201,6,1,2,2,2,9,0,0,1,1,1,0,219,3,0,1,5,1,1,1,1,6,0,466,460
Matobo,Matobo South,Matobo RDC,6,St. Lisieux Primary School,3900MTB0601,6,236,5,1,1,1,2,22,0,1,0,1,1,2,119,7,0,2,3,1,2,1,1,11,0,426,415
Matobo,Matobo South,Matobo RDC,6,St. Sebastian High School,3900MTB0602,1,247,4,1,2,7,0,29,6,2,2,1,0,1,245,6,1,5,4,2,3,3,4,12,0,588,576
Matobo,Matobo South,Matobo RDC,6,Tshelanyemba High School,3900MTB0603,2,157,1,0,1,1,2,3,1,0,1,0,1,1,250,2,1,1,3,0,1,1,1,10,0,441,431
