Chamisa, Mnagagwa, Mnagagwa - Chamisa, % Mnagagwa - Chamisa, DISTRICT,CONSTITUENCY,LOCAL AUTHORITY,WARD NO.,POLLING STATION,STATION CODE
9,275,266,93,Mazowe,Mazowe North,Mazowe RDC,29,Edmonstorn (Suwoguru) Primary School,1500MAZ2904
23,565,542,92,Mazowe,Mazowe North,Mazowe RDC,29,Holland Primary School A,1500MAZ2905 A
27,548,521,90,Mazowe,Mazowe North,Mazowe RDC,29,Holland Primary School B,1500MAZ2905 B
34,334,300,81,Mazowe,Mazowe North,Mazowe RDC,29,Mvurwi Country Club,1500MAZ2906
21,258,237,84,Mazowe,Mazowe South,Mazowe RDC,14,Amelroy Farm Tent,1500MAZ1401
38,526,488,86,Mazowe,Mazowe South,Mazowe RDC,14,Batanai Secondary School,1500MAZ1402
6,306,300,96,Mazowe,Mazowe South,Mazowe RDC,14,Bellrock Stud Farm Tent,1500MAZ1403
9,345,336,94,Mazowe,Mazowe South,Mazowe RDC,14,Davaar Farm Clinic,1500MAZ1404
24,340,316,86,Mazowe,Mazowe South,Mazowe RDC,14,Foothills Primary School,1500MAZ1405
34,376,342,83,Mazowe,Mazowe South,Mazowe RDC,14,Villa Franca Farm Shed Tent,1500MAZ1407
5,355,350,97,Mazowe,Mazowe South,Mazowe RDC,18,Brecon Farm Tent,1500MAZ1801
53,527,474,81,Mazowe,Mazowe South,Mazowe RDC,18,Vonabo Primary School A,1500MAZ1803 A
47,739,692,88,Mazowe,Mazowe South,Mazowe RDC,19,Wagner Mill (Munyoro) Tent,1500MAZ1905
19,227,208,84,Mazowe,Mazowe West,Mazowe RDC,21,Berea Primary School,1500MAZ2102
4,180,176,95,Mazowe,Mazowe West,Mazowe RDC,21,Spa Farm Tent,1500MAZ2107
45,517,472,83,Mazowe,Mazowe West,Mazowe RDC,23,Msasa Primary School,1500MAZ2304
41,429,388,82,Mazowe,Mazowe West,Mazowe RDC,24,Chaddesley Farm Tent,1500MAZ2402
16,259,243,88,Mazowe,Mazowe West,Mazowe RDC,24,Chemutamba Primary School,1500MAZ2403
27,476,449,89,Mazowe,Mazowe West,Mazowe RDC,24,Horta Primary School,1500MAZ2404
40,560,520,86,Mazowe,Mazowe West,Mazowe RDC,25,Copley Primary School,1500MAZ2501
15,297,282,90,Mazowe,Mazowe West,Mazowe RDC,25,Earlyworm Primary School,1500MAZ2502
13,299,286,91,Mazowe,Mazowe West,Mazowe RDC,25,Glenbrook Farm Primary School,1500MAZ2503
44,625,581,86,Mazowe,Mazowe West,Mazowe RDC,25,Maori Range Primary School,1500MAZ2504
47,561,514,84,Mazowe,Mazowe West,Mazowe RDC,25,Nhangura Primary School,1500MAZ2505
16,466,450,93,Mazowe,Mazowe West,Mazowe RDC,25,The Rivers Primary School,1500MAZ2506
26,554,528,91,Mazowe,Mazowe West,Mazowe RDC,30,Farai Primary School A,1500MAZ3001 A
45,513,468,83,Mazowe,Mazowe West,Mazowe RDC,30,Farai Primary School B,1500MAZ3001 B
26,322,296,85,Mazowe,Mazowe West,Mazowe RDC,30,Hariana Primary School,1500MAZ3002
33,725,692,91,Mazowe,Mazowe West,Mazowe RDC,30,Lucknow Primary School,1500MAZ3003
19,329,310,89,Mazowe,Mazowe West,Mazowe RDC,31,Collingwood Farm Creche,1500MAZ3101
28,439,411,88,Mazowe,Mazowe West,Mazowe RDC,31,Cranham Secondary School,1500MAZ3102
14,233,219,88,Mazowe,Mazowe West,Mazowe RDC,31,Howickridge Primary School,1500MAZ3103
32,493,461,87,Mazowe,Mazowe West,Mazowe RDC,31,Ivador Primary School,1500MAZ3104
32,675,643,90,Mazowe,Mazowe West,Mazowe RDC,32,Hermistone Primary School,1500MAZ3202
15,405,390,92,Mazowe,Mazowe West,Mazowe RDC,32,Thorncreek Farm Tent,1500MAZ3203
6,69,63,84,Mazowe,Mazowe West,Mazowe RDC,34,Pentland Farm Tent,1500MAZ3402
30,486,456,88,Mazowe,Mazowe West,Mazowe RDC,34,Tavydale Farm Tent,1500MAZ3403
34,617,583,89,Mazowe,Mazowe West,Mazowe RDC,34,Watakai Primary School,1500MAZ3405
22,502,480,91,Mbire,Mbire,Mbire RDC,4,Kadzi Primary School A,4600MBR0402 A
44,484,440,83,Mbire,Mbire,Mbire RDC,4,Kadzi Primary School B,4600MBR0402 B
32,349,317,83,Mbire,Mbire,Mbire RDC,4,Kapururira Primary School,4600MBR0403
29,603,574,90,Mbire,Mbire,Mbire RDC,5,Chidodo Primary School A,4600MBR0501 A
42,588,546,86,Mbire,Mbire,Mbire RDC,5,Chidodo Primary School B,4600MBR0501 B
1,14,13,86,Mbire,Mbire,Mbire RDC,5,DDF Chidodo Turn Off Tent,4600MBR0502
6,137,131,91,Mbire,Mbire,Mbire RDC,11,Chaukura Village Tent,4600MBR1101
42,587,545,86,Mbire,Mbire,Mbire RDC,13,Kasemberere Primary School,4600MBR1301
35,427,392,84,Mbire,Mbire,Mbire RDC,16,Gunja Village Tent,4600MBR1601
41,536,495,85,Mt Darwin,Mt Darwin East,Pfura RDC,10,Chitumbuko Primary School,4500PFU1002
48,536,488,83,Mt Darwin,Mt Darwin East,Pfura RDC,10,Mangare Primary School A,4500PFU1003 A
19,312,293,88,Mt Darwin,Mt Darwin East,Pfura RDC,11,Hondoyedzomba Village Tent,4500PFU1101
35,438,403,85,Mt Darwin,Mt Darwin East,Pfura RDC,11,Kajokoto Primary School A,4500PFU1102 A
44,424,380,81,Mt Darwin,Mt Darwin East,Pfura RDC,11,Kajokoto Primary School B,4500PFU1102 B
39,632,593,88,Mt Darwin,Mt Darwin East,Pfura RDC,12,Chitsato Primary School,4500PFU1201
53,533,480,81,Mt Darwin,Mt Darwin East,Pfura RDC,15,Chibara Primary School,4500PFU1502
46,767,721,88,Mt Darwin,Mt Darwin East,Pfura RDC,15,Kambamura Primary School,4500PFU1504
14,505,491,94,Mt Darwin,Mt Darwin East,Pfura RDC,37,Chizeza Primary School,4500PFU3702
44,754,710,88,Mt Darwin,Mt Darwin East,Pfura RDC,38,Date Primary School,4500PFU3801
49,667,618,86,Mt Darwin,Mt Darwin East,Pfura RDC,38,Gumbeze Primary School,4500PFU3802
16,214,198,86,Mt Darwin,Mt Darwin East,Pfura RDC,38,Zingori Primary School,4500PFU3803
12,238,226,90,Rushinga,Mt Darwin East,Rushinga RDC,8,Ganganyama Primary School,6100RUS0801
9,286,277,93,Rushinga,Mt Darwin East,Rushinga RDC,8,Jiwa Primary School,6100RUS0802
10,204,194,90,Rushinga,Mt Darwin East,Rushinga RDC,8,Pfara Village Tent,6100RUS0804
3,99,96,94,Rushinga,Mt Darwin East,Rushinga RDC,9,Machiti Primary School,6100RUS0901
33,363,330,83,Rushinga,Mt Darwin East,Rushinga RDC,9,Rutuka Primary School,6100RUS0903
15,211,196,86,Rushinga,Mt Darwin East,Rushinga RDC,10,Bungwe Community Centre,6100RUS1005
4,146,142,94,Rushinga,Mt Darwin East,Rushinga RDC,10,Wara Village Tent,6100RUS1006
23,329,306,86,Rushinga,Mt Darwin East,Rushinga RDC,11,Gwashure Primary School,6100RUS1102
2,143,141,97,Rushinga,Mt Darwin East,Rushinga RDC,11,Mutematsaka Pre-School,6100RUS1103
9,438,429,95,Mt Darwin,Mt Darwin North,Pfura RDC,1,Chimbangu Village Tent,4500PFU0101
18,665,647,94,Mt Darwin,Mt Darwin North,Pfura RDC,2,Chisecha Primary School A,4500PFU0201 A
46,616,570,86,Mt Darwin,Mt Darwin North,Pfura RDC,2,Chisecha Primary School B,4500PFU0201 B
8,374,366,95,Mt Darwin,Mt Darwin North,Pfura RDC,2,Kapfudza Business Centre Tent,4500PFU0203
15,478,463,93,Mt Darwin,Mt Darwin North,Pfura RDC,5,Tsenga Pre-School Tent A,4500PFU0502 A
18,472,454,92,Mt Darwin,Mt Darwin North,Pfura RDC,5,Tsenga Pre-School Tent B,4500PFU0502 B
4,140,136,94,Mt Darwin,Mt Darwin North,Pfura RDC,6,Chaumana Primary School,4500PFU0601
19,566,547,93,Mt Darwin,Mt Darwin North,Pfura RDC,6,Kapanda Primary School,4500PFU0602
37,557,520,87,Mt Darwin,Mt Darwin North,Pfura RDC,6,Mutasa Primary School,4500PFU0603
24,446,422,89,Mt Darwin,Mt Darwin North,Pfura RDC,31,Murongwe Primary School,4500PFU3102
12,524,512,95,Mt Darwin,Mt Darwin North,Pfura RDC,31,Mutasa 3 Pre-School,4500PFU3103
37,459,422,85,Mt Darwin,Mt Darwin North,Pfura RDC,33,Chigango Primary School A,4500PFU3302 A
44,440,396,81,Mt Darwin,Mt Darwin North,Pfura RDC,33,Chigango Primary School B,4500PFU3302 B
24,449,425,89,Mt Darwin,Mt Darwin North,Pfura RDC,33,Gungwa Primary School,4500PFU3303
7,387,380,96,Mt Darwin,Mt Darwin South,Pfura RDC,22,Amanda Village Tent,4500PFU2201
20,333,313,88,Mt Darwin,Mt Darwin South,Pfura RDC,22,Bemberi Primary School,4500PFU2202
18,766,748,95,Mt Darwin,Mt Darwin South,Pfura RDC,22,Chibondo Business Centre Tent,4500PFU2203
37,840,803,91,Mt Darwin,Mt Darwin South,Pfura RDC,22,Chipa Business Centre Tent,4500PFU2204
54,683,629,85,Mt Darwin,Mt Darwin South,Pfura RDC,22,Tangenhamo Secondary School,4500PFU2206
40,476,436,84,Mt Darwin,Mt Darwin South,Pfura RDC,22,Tsakare Community Hall A,4500PFU2207 A
33,481,448,87,Mt Darwin,Mt Darwin South,Pfura RDC,22,Tsakare Community Hall B,4500PFU2207 B
32,558,526,89,Mt Darwin,Mt Darwin South,Pfura RDC,24,Chatumbama Primary School,4500PFU2401
44,532,488,84,Mt Darwin,Mt Darwin South,Pfura RDC,24,Matope Primary School,4500PFU2404
126,7,-119,-89,Mt Darwin,Mt Darwin South,Pfura RDC,24,Mazonde Village Tent,4500PFU2405
45,494,449,83,Mt Darwin,Mt Darwin South,Pfura RDC,27,Chindunduma High School,4500PFU2701
25,538,513,91,Mt Darwin,Mt Darwin South,Pfura RDC,27,Gwetera Pre-School Tent,4500PFU2703
12,551,539,95,Mt Darwin,Mt Darwin South,Pfura RDC,39,Ravine Village Tent A,4500PFU3901 A
22,527,505,91,Mt Darwin,Mt Darwin South,Pfura RDC,39,Ravine Village Tent B,4500PFU3901 B
32,463,431,87,Mt Darwin,Mt Darwin South,Pfura RDC,39,Tsakare Primary School A,4500PFU3902 A
24,454,430,89,Mt Darwin,Mt Darwin South,Pfura RDC,39,Tsakare Primary School B,4500PFU3902 B
33,384,351,84,Mt Darwin,Mt Darwin South,Pfura RDC,40,Chaminuka Training Centre B,4500PFU4001 B
37,610,573,88,Mt Darwin,Mt Darwin South,Pfura RDC,40,Chomagora Primary School A,4500PFU4002 A
35,611,576,89,Mt Darwin,Mt Darwin South,Pfura RDC,40,Chomagora Primary School B,4500PFU4002 B
33,550,517,88,Mt Darwin,Mt Darwin South,Pfura RDC,40,Manhondo Business Centre Tent A,4500PFU4003 A
0,532,532,100,Mt Darwin,Mt Darwin South,Pfura RDC,40,Manhondo Business Centre Tent B,4500PFU4003 B
43,603,560,86,Mt Darwin,Mt Darwin West,Pfura RDC,8,Nohwedza Village Tent,4500PFU0804
17,374,357,91,Mt Darwin,Mt Darwin West,Pfura RDC,17,Kazai Primary School,4500PFU1702
50,548,498,83,Mt Darwin,Mt Darwin West,Pfura RDC,17,Mudzengerere Secondary School A,4500PFU1703 A
47,547,500,84,Mt Darwin,Mt Darwin West,Pfura RDC,17,Mudzengerere Secondary School B,4500PFU1703 B
17,567,550,94,Mt Darwin,Mt Darwin West,Pfura RDC,18,Chakanetsa Primary School,4500PFU1801
18,817,799,95,Mt Darwin,Mt Darwin West,Pfura RDC,18,Mutungagore Primary School,4500PFU1802
32,561,529,89,Mt Darwin,Mt Darwin West,Pfura RDC,18,Mutungagore Secondary School,4500PFU1803
22,443,421,90,Mt Darwin,Mt Darwin West,Pfura RDC,18,Nyamaswau Primary School,4500PFU1804
5,285,280,96,Mt Darwin,Mt Darwin West,Pfura RDC,18,Nyamhara Village Tent,4500PFU1805
4,434,430,98,Mt Darwin,Mt Darwin West,Pfura RDC,19,Binga Primary School,4500PFU1901
40,688,648,89,Mt Darwin,Mt Darwin West,Pfura RDC,19,Chibuli Primary School,4500PFU1902
16,250,234,87,Mt Darwin,Mt Darwin West,Pfura RDC,19,Chitepo A Village Tent,4500PFU1903
41,456,415,83,Mt Darwin,Mt Darwin West,Pfura RDC,19,Dolphin Park Primary School,4500PFU1904
1,150,149,98,Mt Darwin,Mt Darwin West,Pfura RDC,19,Glassalla Village,4500PFU1905
1,460,459,99,Mt Darwin,Mt Darwin West,Pfura RDC,19,Mutwa Estate Tent,4500PFU1906
17,466,449,92,Mt Darwin,Mt Darwin West,Pfura RDC,19,Newveld/Mudzinge Church Hall,4500PFU1907
2,235,233,98,Mt Darwin,Mt Darwin West,Pfura RDC,19,Nyamaridza Village Tent,4500PFU1908
19,219,200,84,Mt Darwin,Mt Darwin West,Pfura RDC,19,Panorama Training Centre,4500PFU1909
3,237,234,97,Mt Darwin,Mt Darwin West,Pfura RDC,19,Tongogara Village Tent,4500PFU1910
7,586,579,97,Mt Darwin,Mt Darwin West,Pfura RDC,20,Kuyedza Village Tent,4500PFU2002
16,479,463,93,Mt Darwin,Mt Darwin West,Pfura RDC,20,Mutwa Primary School,4500PFU2003
16,248,232,87,Mt Darwin,Mt Darwin West,Pfura RDC,20,Mutwa Secondary School,4500PFU2004
23,464,441,90,Mt Darwin,Mt Darwin West,Pfura RDC,20,Tsamvi Primary School,4500PFU2005
11,254,243,91,Mt Darwin,Mt Darwin West,Pfura RDC,35,Forty Misery Business Centre Tent,4500PFU3502
49,546,497,83,Mt Darwin,Mt Darwin West,Pfura RDC,36,Karaga Village Tent,4500PFU3604
37,404,367,83,Muzarabani,Muzarabani North,Muzarabani RDC,1,Chadereka Primary School,1100MUZ0101
11,164,153,87,Muzarabani,Muzarabani North,Muzarabani RDC,1,Chadereka Secondary School,1100MUZ0102
40,405,365,82,Muzarabani,Muzarabani North,Muzarabani RDC,1,Chimoio Primary School,1100MUZ0103
17,458,441,92,Muzarabani,Muzarabani North,Muzarabani RDC,1,Gunduza Primary School,1100MUZ0104
12,187,175,87,Muzarabani,Muzarabani North,Muzarabani RDC,1,Kanyaya Village Tent,1100MUZ0105
33,381,348,84,Muzarabani,Muzarabani North,Muzarabani RDC,1,Musingwa Primary School,1100MUZ0106
19,259,240,86,Muzarabani,Muzarabani North,Muzarabani RDC,1,Sone Primary School,1100MUZ0107
15,545,530,94,Muzarabani,Muzarabani North,Muzarabani RDC,2,Chiridza Primary School,1100MUZ0201
53,574,521,83,Muzarabani,Muzarabani North,Muzarabani RDC,2,Gumbochuma Primary School,1100MUZ0202
15,428,413,93,Muzarabani,Muzarabani North,Muzarabani RDC,2,Guni Village Tent,1100MUZ0203
11,297,286,92,Muzarabani,Muzarabani North,Muzarabani RDC,3,Chirimbwa Village Tent,1100MUZ0302
37,511,474,86,Muzarabani,Muzarabani North,Muzarabani RDC,4,Dambakurima Primary School,1100MUZ0402
2,98,96,96,Muzarabani,Muzarabani North,Muzarabani RDC,7,Muganhi Village Tent,1100MUZ0702
18,192,174,82,Muzarabani,Muzarabani North,Muzarabani RDC,8,Muringazuva Village Tent,1100MUZ0802
14,322,308,91,Muzarabani,Muzarabani North,Muzarabani RDC,8,Mushinye Village Tent,1100MUZ0803
2,117,115,96,Muzarabani,Muzarabani North,Muzarabani RDC,19,Tandare Village Tent,1100MUZ1902
17,437,420,92,Muzarabani,Muzarabani North,Muzarabani RDC,23,Kaerezi Primary School A,1100MUZ2302 A
33,434,401,85,Muzarabani,Muzarabani North,Muzarabani RDC,23,Kaerezi Primary School B,1100MUZ2302 B
13,308,295,91,Muzarabani,Muzarabani North,Muzarabani RDC,23,Kakonono Village Tent,1100MUZ2303
52,515,463,81,Muzarabani,Muzarabani North,Muzarabani RDC,24,Chibombo Primary School,1100MUZ2401
27,757,730,93,Muzarabani,Muzarabani North,Muzarabani RDC,24,Chiwenga Primary School,1100MUZ2402
33,646,613,90,Muzarabani,Muzarabani North,Muzarabani RDC,24,Keche Primary School,1100MUZ2403
32,380,348,84,Muzarabani,Muzarabani North,Muzarabani RDC,24,Machakwa Village Tent,1100MUZ2404
29,675,646,91,Muzarabani,Muzarabani North,Muzarabani RDC,27,Museredza Primary School,1100MUZ2702
21,606,585,93,Muzarabani,Muzarabani South,Muzarabani RDC,9,Chiwashira Primary School,1100MUZ0901
42,469,427,83,Muzarabani,Muzarabani South,Muzarabani RDC,9,Mhene Primary School,1100MUZ0902
12,480,468,95,Muzarabani,Muzarabani South,Muzarabani RDC,10,Uchachacha DDF Rest Camp Tent,1100MUZ1003
37,418,381,83,Muzarabani,Muzarabani South,Muzarabani RDC,11,Chiripiro Primary School,1100MUZ1101
42,451,409,82,Muzarabani,Muzarabani South,Muzarabani RDC,11,Munhenga Primary School A,1100MUZ1102 A
32,445,413,86,Muzarabani,Muzarabani South,Muzarabani RDC,11,Munhenga Primary School B,1100MUZ1102 B
19,506,487,92,Muzarabani,Muzarabani South,Muzarabani RDC,12,Chikale Farm Tent,1100MUZ1201
9,268,259,93,Muzarabani,Muzarabani South,Muzarabani RDC,12,Hilbree Primary School,1100MUZ1202
21,433,412,90,Muzarabani,Muzarabani South,Muzarabani RDC,12,Samanyanga Primary School,1100MUZ1203
20,432,412,91,Muzarabani,Muzarabani South,Muzarabani RDC,12,Trinity Rock farm Tent,1100MUZ1204
13,179,166,86,Muzarabani,Muzarabani South,Muzarabani RDC,13,Kilkerran Farm Tent,1100MUZ1302
21,433,412,90,Muzarabani,Muzarabani South,Muzarabani RDC,13,Maware Primary School,1100MUZ1303
25,331,306,85,Muzarabani,Muzarabani South,Muzarabani RDC,13,Silverstroom Primary School,1100MUZ1304
36,729,693,90,Muzarabani,Muzarabani South,Muzarabani RDC,14,Ashford Primary School,1100MUZ1401
35,813,778,91,Muzarabani,Muzarabani South,Muzarabani RDC,14,Clearmorning Primary School,1100MUZ1403
7,599,592,97,Muzarabani,Muzarabani South,Muzarabani RDC,14,Goromokwa Primary School,1100MUZ1404
14,192,178,86,Muzarabani,Muzarabani South,Muzarabani RDC,14,Mwonga farm - Tent,1100MUZ1405
9,163,154,89,Muzarabani,Muzarabani South,Muzarabani RDC,14,Tekwani Farm Tent,1100MUZ1406
26,339,313,85,Muzarabani,Muzarabani South,Muzarabani RDC,17,Charunda Primary School,1100MUZ1701
24,657,633,92,Muzarabani,Muzarabani South,Muzarabani RDC,17,Hoya Primary School,1100MUZ1702
6,465,459,97,Muzarabani,Muzarabani South,Muzarabani RDC,17,Kambudzi Primary School,1100MUZ1703
11,330,319,93,Muzarabani,Muzarabani South,Muzarabani RDC,17,Mangurenje Primary School,1100MUZ1704
0,13,13,100,Muzarabani,Muzarabani South,Muzarabani RDC,18,Mufuka Village Tent,1100MUZ1801
7,321,314,95,Muzarabani,Muzarabani South,Muzarabani RDC,18,Murimo Business Centre Tent,1100MUZ1802
18,485,467,92,Muzarabani,Muzarabani South,Muzarabani RDC,18,Mutemakungu Primary School,1100MUZ1803
47,458,411,81,Muzarabani,Muzarabani South,Muzarabani RDC,20,Chawarura Primary School A,1100MUZ2001 A
29,303,274,82,Muzarabani,Muzarabani South,Muzarabani RDC,21,Chawarura Skills Development Centre,1100MUZ2101
18,373,355,90,Muzarabani,Muzarabani South,Muzarabani RDC,21,Chitemamuswe Primary School,1100MUZ2102
3,152,149,96,Muzarabani,Muzarabani South,Muzarabani RDC,21,Mavhuradonha Farm Tent,1100MUZ2103
67,687,620,82,Muzarabani,Muzarabani South,Muzarabani RDC,22,Chaona Resettlement Tent,1100MUZ2201
14,374,360,92,Muzarabani,Muzarabani South,Muzarabani RDC,25,The Range Farm Tent,1100MUZ2501
38,636,598,88,Muzarabani,Muzarabani South,Muzarabani RDC,25,Westbury Farm Tent,1100MUZ2502
14,359,345,92,Muzarabani,Muzarabani South,Muzarabani RDC,26,Dunbarton Farm Tent,1100MUZ2601
22,656,634,93,Muzarabani,Muzarabani South,Muzarabani RDC,26,Takunda Primary School A,1100MUZ2602 A
39,628,589,88,Muzarabani,Muzarabani South,Muzarabani RDC,26,Takunda Primary School B,1100MUZ2602 B
15,518,503,94,Muzarabani,Muzarabani South,Muzarabani RDC,28,Aranbira Primary School,1100MUZ2801
29,752,723,92,Muzarabani,Muzarabani South,Muzarabani RDC,28,Chidikamwedzi Primary School,1100MUZ2802
5,175,170,94,Muzarabani,Muzarabani South,Muzarabani RDC,28,Chipata Primary School,1100MUZ2803
31,378,347,84,Muzarabani,Muzarabani South,Muzarabani RDC,28,Mutorazeni Farm Tent,1100MUZ2804
8,356,348,95,Muzarabani,Muzarabani South,Muzarabani RDC,28,Sulugulu Farm Tent,1100MUZ2805
7,361,354,96,Muzarabani,Muzarabani South,Muzarabani RDC,29,Aurellia Farm Tent,1100MUZ2901
6,704,698,98,Muzarabani,Muzarabani South,Muzarabani RDC,29,Minda Primary School,1100MUZ2902
2,231,229,98,Muzarabani,Muzarabani South,Muzarabani RDC,29,Ruindi Farm Tent,1100MUZ2903
9,247,238,92,Rushinga,Rushinga,Rushinga RDC,1,Chabooka Village Tent,6100RUS0101
22,539,517,92,Rushinga,Rushinga,Rushinga RDC,1,Mukosa Primary School,6100RUS0102
18,278,260,87,Rushinga,Rushinga,Rushinga RDC,1,Nyabawa Primary School,6100RUS0103
23,313,290,86,Rushinga,Rushinga,Rushinga RDC,2,Nyamuzeya Primary School,6100RUS0203
21,302,281,86,Rushinga,Rushinga,Rushinga RDC,3,Chimandau Primary School,6100RUS0301
31,480,449,87,Rushinga,Rushinga,Rushinga RDC,3,Chitange Primary School,6100RUS0302
19,274,255,87,Rushinga,Rushinga,Rushinga RDC,3,Machirinje Primary School,6100RUS0303
22,338,316,87,Rushinga,Rushinga,Rushinga RDC,5,Makuni Secondary School,6100RUS0502
20,397,377,90,Rushinga,Rushinga,Rushinga RDC,5,Mukonde Primary School,6100RUS0503
10,395,385,95,Rushinga,Rushinga,Rushinga RDC,6,Kasenzi Business Centre Tent,6100RUS0601
2,153,151,97,Rushinga,Rushinga,Rushinga RDC,6,Nyabvedzi Village Tent,6100RUS0603
7,69,62,81,Rushinga,Rushinga,Rushinga RDC,6,Nyanhoto Village Tent,6100RUS0604
18,262,244,87,Rushinga,Rushinga,Rushinga RDC,7,Chitepo Primary School,6100RUS0701
6,123,117,90,Rushinga,Rushinga,Rushinga RDC,7,Kanzara Pre-School,6100RUS0703
29,329,300,83,Rushinga,Rushinga,Rushinga RDC,7,Mandendera Business Centre Tent,6100RUS0704
11,128,117,84,Rushinga,Rushinga,Rushinga RDC,14,Harumbwi Village Tent,6100RUS1403
2,127,125,96,Rushinga,Rushinga,Rushinga RDC,16,Betty Village Tent,6100RUS1601
5,182,177,94,Rushinga,Rushinga,Rushinga RDC,16,Chaparadza Village Tent,6100RUS1603
36,419,383,84,Rushinga,Rushinga,Rushinga RDC,16,Huruma Primary School,6100RUS1604
5,114,109,91,Rushinga,Rushinga,Rushinga RDC,17,Chinaka Pre-School,6100RUS1701
7,305,298,95,Rushinga,Rushinga,Rushinga RDC,17,Mudzikatiri Village Tent,6100RUS1703
36,560,524,87,Rushinga,Rushinga,Rushinga RDC,18,Kamanika Primary School,6100RUS1801
4,234,230,96,Rushinga,Rushinga,Rushinga RDC,18,Kararira ECD Centre,6100RUS1802
2,187,185,97,Rushinga,Rushinga,Rushinga RDC,18,Karige ECD Centre,6100RUS1803
6,98,92,88,Rushinga,Rushinga,Rushinga RDC,18,Tungwengwe Village Tent,6100RUS1806
11,191,180,89,Rushinga,Rushinga,Rushinga RDC,19,Chiromba Primary School,6100RUS1901
9,357,348,95,Rushinga,Rushinga,Rushinga RDC,20,Murehwa Village Tent,6100RUS2002
1,68,67,97,Rushinga,Rushinga,Rushinga RDC,21,Chipwere Village Tent,6100RUS2101
19,260,241,86,Rushinga,Rushinga,Rushinga RDC,21,Mazengera Village Tent,6100RUS2102
5,199,194,95,Rushinga,Rushinga,Rushinga RDC,22,Jangwa Village Tent,6100RUS2202
7,136,129,90,Rushinga,Rushinga,Rushinga RDC,22,Karombe Village Tent,6100RUS2203
5,201,196,95,Rushinga,Rushinga,Rushinga RDC,22,Matoto Primary School,6100RUS2205
18,369,351,90,Rushinga,Rushinga,Rushinga RDC,23,Mushongahande Village Tent,6100RUS2303
8,255,247,93,Rushinga,Rushinga,Rushinga RDC,25,Nyamasanga Pre-School,6100RUS2502
9,206,197,91,Shamva,Shamva North,Chaminuka RDC,3,Chizanga Village Tent,6800CHA0301
23,235,212,82,Shamva,Shamva North,Chaminuka RDC,8,Hore Business Centre Tent,6800CHA0801
33,393,360,84,Shamva,Shamva North,Chaminuka RDC,10,Gora Business Centre Tent,6800CHA1003
5,449,444,97,Shamva,Shamva North,Chaminuka RDC,14,Magadzi Primary School A,6800CHA1401 A
9,432,423,95,Shamva,Shamva North,Chaminuka RDC,14,Magadzi Primary School B,6800CHA1401 B
21,305,284,87,Shamva,Shamva North,Chaminuka RDC,14,Zvomanyanga Primary School,6800CHA1402
10,546,536,96,Shamva,Shamva North,Chaminuka RDC,14,Mukwari Primary School,6800CHA1403
25,622,597,92,Shamva,Shamva North,Chaminuka RDC,14,Simba Village Tent,6800CHA1405
38,512,474,86,Shamva,Shamva North,Chaminuka RDC,14,Ponesai Vanhu Technical College,6800CHA1406
32,408,376,85,Shamva,Shamva North,Chaminuka RDC,16,Mudzinge Primary School,6800CHA1601
48,817,769,88,Shamva,Shamva North,Chaminuka RDC,16,Batsiranai Primary School,6800CHA1603
23,413,390,89,Shamva,Shamva North,Chaminuka RDC,16,Muringamombe Primary School,6800CHA1604
25,284,259,83,Shamva,Shamva South,Chaminuka RDC,11,Gono Secondary School,6800CHA1103
11,399,388,94,Shamva,Shamva South,Chaminuka RDC,12,Nanaza Village Tent,6800CHA1202
49,588,539,84,Shamva,Shamva South,Chaminuka RDC,12,Sindura Village Tent,6800CHA1203
51,752,701,87,Shamva,Shamva South,Chaminuka RDC,13,Chishapa Primary School,6800CHA1302
39,813,774,90,Shamva,Shamva South,Chaminuka RDC,15,Chevakadzi Primary School,6800CHA1501
8,189,181,91,Shamva,Shamva South,Chaminuka RDC,15,Chemhondoro Primary School,6800CHA1502
12,466,454,94,Shamva,Shamva South,Chaminuka RDC,15,Utsig Lot 10 Village Tent,6800CHA1503
17,574,557,94,Shamva,Shamva South,Chaminuka RDC,15,Chemhanza Primary School,6800CHA1504
27,558,531,90,Shamva,Shamva South,Chaminuka RDC,15,Chidumbwe Hall,6800CHA1505
17,564,547,94,Shamva,Shamva South,Chaminuka RDC,17,Mugagau Village Tent,6800CHA1701
27,526,499,90,Shamva,Shamva South,Chaminuka RDC,17,Nyamahumbe Primary School,6800CHA1702
36,741,705,90,Shamva,Shamva South,Chaminuka RDC,17,Pfumvuti Primary School,6800CHA1703
27,875,848,94,Shamva,Shamva South,Chaminuka RDC,17,Rustington Primary School,6800CHA1704
6,483,477,97,Shamva,Shamva South,Chaminuka RDC,17,Muuyu Business CentreTent,6800CHA1705
12,575,563,95,Shamva,Shamva South,Chaminuka RDC,18,Golden Star Resettlement Tent,6800CHA1801
27,361,334,86,Shamva,Shamva South,Chaminuka RDC,18,Pote Store Tent,6800CHA1802
15,273,258,89,Shamva,Shamva South,Chaminuka RDC,18,Soma Primary School,6800CHA1803
9,417,408,95,Shamva,Shamva South,Chaminuka RDC,19,Mandimu Primary School,6800CHA1901
24,262,238,83,Shamva,Shamva South,Chaminuka RDC,19,Nherera Primary School,6800CHA1902
8,250,242,93,Shamva,Shamva South,Chaminuka RDC,19,Musau Primary School,6800CHA1903
