"MANICALAND PROVINCE :2018 HARMONISED PRESIDENTIAL ELECTION RESULTS:30 JULY  2018 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,POLLING STATION CODE,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
national Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera Central,Buhera RDC,20,Betera Primary School,0700BUH2001,1,169,2,0,0,0,2,3,1,0,0,0,1,4,304,4,2,0,1,1,0,0,1,13,0,509,496
Buhera,Buhera Central,Buhera RDC,20,Betera Secondary School,0700BUH2002,4,116,3,0,0,0,2,5,0,0,0,0,0,1,236,1,0,1,0,0,0,0,0,6,0,375,369
Buhera,Buhera Central,Buhera RDC,20,Chihera Primary School,0700BUH2003,1,111,3,0,0,0,1,1,0,0,0,0,0,1,175,2,1,0,0,1,0,0,1,1,0,299,298
Buhera,Buhera Central,Buhera RDC,20,Mutemera Primary School,0700BUH2004,0,225,6,0,0,1,0,6,0,0,0,1,0,2,374,3,0,1,0,3,0,1,1,13,0,637,624
Buhera,Buhera Central,Buhera RDC,20,Nhamo Primary School,0700BUH2005,4,205,4,0,0,2,1,10,0,0,1,0,1,3,292,4,0,1,5,2,4,1,1,18,0,559,541
,,,,5 POLLING STATIONS,Ward Total,10,826,18,0,0,3,6,25,1,0,1,1,2,11,1381,14,3,3,6,7,4,2,4,51,0,2379,2328
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera Central,Buhera RDC,21,Basira Primary School,0700BUH2101,5,151,0,1,0,3,1,4,0,0,1,1,0,1,247,3,3,1,2,2,1,0,5,10,0,442,432
Buhera,Buhera Central,Buhera RDC,21,Maweni Business Centre Tent,0700BUH2102,0,169,1,0,0,0,1,4,0,2,0,0,0,0,128,3,1,0,1,2,1,1,3,27,0,344,317
