MASHONALAND WEST PROVINCE: 2018 HARMONISED ELECTIONS PRESIDENTIAL ELECTION RESULTS:30 JULY 2018 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,POLLING CODE,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive Party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
National Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Chegutu,Chegutu East,Chegutu RDC,12,Farnley Farm Settlement Tent,3200CHE1201,1,34,1,0,0,1,0,0,0,0,0,0,0,1,206,0,1,0,1,0,0,0,0,4,0,250,246
Chegutu,Chegutu East,Chegutu RDC,12,Homedale Clinic Tent,3200CHE1202,0,28,0,0,0,1,0,1,0,0,0,0,0,3,314,0,0,0,1,0,0,0,0,5,0,353,348
Chegutu,Chegutu East,Chegutu RDC,12,Linden Park Farm House,3200CHE1203,0,24,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1,0,1,4,0,67,63
Chegutu,Chegutu East,Chegutu RDC,12,Lothian Farm House,3200CHE1204,3,42,0,0,0,1,1,2,0,1,0,0,0,2,491,1,1,0,2,1,0,1,0,2,0,551,549
Chegutu,Chegutu East,Chegutu RDC,12,Masden Farm House,3200CHE1205,1,13,0,0,0,0,0,0,1,1,0,0,0,0,209,0,0,1,0,0,0,0,0,4,0,230,226
Chegutu,Chegutu East,Chegutu RDC,12,Shingwiri Primary School,3200CHE1206,2,41,1,1,0,2,0,1,0,0,0,0,0,0,195,1,0,0,0,0,0,1,0,3,0,248,245
Chegutu,Chegutu East,Chegutu RDC,12,Stocksay Farm House,3200CHE1207,0,52,0,0,0,3,0,0,0,0,0,0,0,0,193,2,1,0,0,0,1,0,0,4,0,256,252
Chegutu,Chegutu East,Chegutu RDC,12,Tilford Farm House,3200CHE1208,0,9,1,0,1,0,0,1,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,68,68
,,,,,Ward Total,7,243,3,1,1,8,1,5,1,2,0,0,0,6,1701,4,3,1,4,1,2,2,1,26,0,2023,1997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chegutu,Chegutu East,Chegutu RDC,16,Mbuya Nehanda Clinic,3200CHE1601,0,35,0,0,0,1,0,1,0,0,0,0,0,0,31,0,0,0,2,0,0,0,0,0,0,70,70
Chegutu,Chegutu East,Chegutu RDC,16,Mukwasha Primary School,3200CHE1602,1,115,3,1,0,1,0,0,1,0,0,0,0,0,208,1,0,0,0,0,0,0,0,3,0,334,331
Chegutu,Chegutu East,Chegutu RDC,16,Waze Primary School,3200CHE1603,0,88,0,0,0,1,2,2,0,0,0,0,0,0,146,0,0,0,2,1,1,0,0,1,0,244,243
,,,,,Ward Total,1,238,3,1,0,3,2,3,1,0,0,0,0,0,385,1,0,0,4,1,1,0,0,4,0,648,644
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chegutu,Chegutu East,Chegutu RDC,17,Dombwe Secondary School,3200CHE1701,1,169,0,0,0,1,0,0,0,1,0,0,0,0,109,0,0,1,2,0,0,0,2,1,0,287,286
Chegutu,Chegutu East,Chegutu RDC,17,Mawanda Primary School,3200CHE1702,2,31,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,62,62
Chegutu,Chegutu East,Chegutu RDC,17,Msengezi Secondary School,3200CHE1703,0,98,0,0,1,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,121,121
,,,,,Ward Total,3,298,0,0,1,1,0,0,0,2,0,0,0,0,159,0,0,1,2,0,0,0,2,1,0,470,469
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chegutu,Chegutu East,Chegutu RDC,18,Chirinhengo Primary School,3200CHE1801,0,84,1,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,4,0,192,188
Chegutu,Chegutu East,Chegutu RDC,18,Kanhema Crossroads Tent,3200CHE1802,0,28,1,0,0,0,0,1,0,0,0,0,0,0,84,0,0,0,0,0,0,1,0,1,0,116,115
Chegutu,Chegutu East,Chegutu RDC,18,Maritangwe Primary School,3200CHE1803,1,70,2,0,0,1,0,1,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,3,0,145,142
,,,,,Ward Total,1,182,4,0,0,1,0,2,0,0,0,0,0,0,254,0,0,0,0,0,0,1,0,8,0,453,445
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chegutu,Chegutu East,Chegutu RDC,19,Chiwanza Co-operative Tent,3200CHE1901,0,78,0,0,0,0,0,0,1,1,0,0,0,0,103,2,0,0,2,0,0,0,0,1,0,188,187
Chegutu,Chegutu East,Chegutu RDC,19,Marshall Hartley Primary School,3200CHE1902,0,64,0,0,0,0,0,2,0,0,0,0,0,0,56,0,0,0,0,0,1,0,0,2,0,125,123
Chegutu,Chegutu East,Chegutu RDC,19,Msengezi Primary School,3200CHE1903,0,76,1,0,0,0,1,2,0,0,0,0,0,0,86,1,0,0,2,0,0,1,0,0,0,170,170
