MASHONALAND WEST PROVINCE: 2018 HARMONISED ELECTIONS PRESIDENTIAL ELECTION RESULTS:30 JULY 2018 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,POLLING CODE,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive Party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
National Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurungwe,Hurungwe Central,Karoi Town Council,10,AFM Church Tent,3801KTC1001 A,0,281,1,0,0,1,0,2,0,0,0,0,0,0,185,0,0,0,0,0,1,0,0,5,0,476,471
Hurungwe,Hurungwe Central,Karoi Town Council,10,AFM Church Tent,3801KTC1001 B,3,285,1,0,0,0,0,2,0,0,0,1,0,0,174,0,1,0,0,0,0,1,1,7,0,476,469
Hurungwe,Hurungwe Central,Karoi Town Council,10,Bethsaida Apostolic Church Tent,3801KTC1002,1,271,0,0,0,0,0,3,0,0,0,0,0,0,168,3,1,3,1,0,0,1,0,1,0,453,452
Hurungwe,Hurungwe Central,Karoi Town Council,10,Habakkuk Apostolic Church Tent,3801KTC1003,1,334,0,0,0,0,0,1,0,0,0,0,0,0,153,0,0,0,0,0,1,0,0,2,0,492,490
Hurungwe,Hurungwe Central,Karoi Town Council,10,Proposed Secondary School (5210) Tent,3801KTC1004 A,0,324,1,0,0,1,3,2,0,0,1,0,0,0,115,0,0,0,0,0,0,0,0,3,0,450,447
Hurungwe,Hurungwe Central,Karoi Town Council,10,Proposed Secondary School (5210) Tent,3801KTC1004 B,1,303,2,0,0,0,0,2,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,7,0,449,442
,,,,,Ward Total,6,1798,5,0,0,2,3,12,0,0,1,1,0,0,929,3,2,3,1,0,2,2,1,25,0,2796,2771
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,CONSTITUENCY TOTAL,67,8718,46,11,12,27,23,79,4,7,6,5,3,28,14097,36,13,18,23,18,16,9,15,279,0,23560,23281
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurungwe,Hurungwe East,Hurungwe RDC,2,Chehamba Primary School,3800HUR0201,4,64,1,0,0,1,2,0,0,0,0,1,0,2,527,6,0,2,1,0,1,1,2,16,0,631,615
Hurungwe,Hurungwe East,Hurungwe RDC,2,Dentaow Farm House,3800HUR0202,0,13,0,0,0,0,0,0,0,0,1,0,0,0,174,1,0,0,0,1,0,0,0,1,0,191,190
Hurungwe,Hurungwe East,Hurungwe RDC,2,Ian Penny/Kemasimbi Settlement Farm,3800HUR0203,0,22,1,0,0,0,0,2,0,0,0,0,0,1,483,0,0,0,0,1,1,1,0,1,0,513,512
Hurungwe,Hurungwe East,Hurungwe RDC,2,Masikati Primary School,3800HUR0204,1,59,1,0,1,2,0,1,0,0,1,2,0,1,595,0,0,0,1,0,1,0,1,2,0,669,667
Hurungwe,Hurungwe East,Hurungwe RDC,2,Mshohwe High School,3800HUR0205,0,58,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,1,0,0,0,0,0,0,0,156,156
Hurungwe,Hurungwe East,Hurungwe RDC,2,Mshohwe Primary School,3800HUR0206,4,152,0,0,0,0,0,2,0,0,0,0,0,1,621,2,1,0,0,1,0,0,2,3,0,789,786
Hurungwe,Hurungwe East,Hurungwe RDC,2,Pollux Estate Farm House,3800HUR0207,2,24,1,0,0,1,1,1,0,0,0,1,0,0,295,1,0,0,0,0,0,0,0,0,0,327,327
Hurungwe,Hurungwe East,Hurungwe RDC,2,Rhodes Farm House,3800HUR0208,1,19,0,0,0,0,1,0,0,0,1,0,0,1,265,0,0,0,1,0,1,0,0,5,0,295,290
Hurungwe,Hurungwe East,Hurungwe RDC,2,Tengwe Estate Farm House,3800HUR0209,0,23,0,0,0,0,0,1,0,0,0,0,0,0,199,0,0,0,1,0,0,0,0,3,0,227,224
Hurungwe,Hurungwe East,Hurungwe RDC,2,Tobengwe/Nyadzombe Farm House,3800HUR0210,0,20,1,0,0,0,0,0,0,0,0,0,0,0,141,0,0,1,0,0,0,0,0,2,0,165,163
,,,,,Ward Total,12,454,5,0,1,4,4,7,0,0,3,4,0,6,3397,10,1,4,4,3,4,2,5,33,0,3963,3930
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurungwe,Hurungwe East,Hurungwe RDC,3,Chanetsa Primary School,3800HUR0301,0,11,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,62,62
Hurungwe,Hurungwe East,Hurungwe RDC,3,Garahanga Farm House,3800HUR0302,1,18,0,0,0,0,0,0,1,0,0,1,0,0,508,0,2,0,2,0,0,0,0,7,0,540,533
Hurungwe,Hurungwe East,Hurungwe RDC,3,Karoi Enterprise Primary School,3800HUR0303,4,63,4,0,2,3,2,3,0,0,1,0,0,0,441,3,0,2,0,0,0,0,0,5,0,533,528
Hurungwe,Hurungwe East,Hurungwe RDC,3,Mauya Secondary School,3800HUR0304,1,38,2,0,1,0,1,1,0,0,0,0,0,1,517,1,0,0,0,0,0,1,0,5,0,569,564
Hurungwe,Hurungwe East,Hurungwe RDC,3,St. Micheles Primary School,3800HUR0306,3,29,1,0,0,1,0,0,0,0,0,0,0,2,229,0,0,0,0,3,0,0,0,0,0,268,268
Hurungwe,Hurungwe East,Hurungwe RDC,3,Zebra Downs Primary School,3800HUR0307 A,1,44,0,0,0,0,0,0,0,1,0,0,0,0,426,0,0,0,1,0,0,0,0,4,0,477,473
Hurungwe,Hurungwe East,Hurungwe RDC,3,Zebra Downs Primary School,3800HUR0307 B,0,56,2,0,0,0,0,2,0,0,0,1,0,0,407,0,0,0,0,0,0,0,0,3,0,471,468
,,,,,Ward Total,10,259,9,0,3,4,3,6,1,1,1,2,0,3,2579,4,2,2,3,3,0,1,0,24,0,2920,2896
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurungwe,Hurungwe East,Hurungwe RDC,6,Chikuti Primary School,3800HUR0601,0,64,2,0,0,0,1,4,1,0,0,0,0,0,385,0,2,0,0,0,2,0,1,8,0,470,462
Hurungwe,Hurungwe East,Hurungwe RDC,6,Dambanzara Primary School,3800HUR0602,0,32,0,0,0,0,2,4,0,0,0,0,1,0,319,0,0,1,0,1,1,1,0,2,0,364,362
Hurungwe,Hurungwe East,Hurungwe RDC,6,Kasimure Primary School,3800HUR0603,3,175,0,0,0,1,0,3,0,0,0,0,0,1,404,0,1,2,1,0,0,0,2,9,0,602,593
Hurungwe,Hurungwe East,Hurungwe RDC,6,Kasimure Secondary School,3800HUR0604,0,51,0,0,0,0,0,0,0,0,0,0,0,1,149,0,0,0,1,1,1,0,0,3,0,207,204
Hurungwe,Hurungwe East,Hurungwe RDC,6,Nyamahape Primary School,3800HUR0605,2,107,4,0,0,0,1,1,0,1,0,1,0,0,446,1,0,0,1,3,0,0,2,4,0,574,570
Hurungwe,Hurungwe East,Hurungwe RDC,6,Nyangoma Primary School,3800HUR0606,3,78,2,0,0,1,0,2,0,0,0,0,0,1,544,0,1,0,1,1,1,0,0,9,0,644,635
Hurungwe,Hurungwe East,Hurungwe RDC,6,Pote Primary School,3800HUR0607,0,75,1,0,0,1,0,3,0,0,0,0,1,1,276,0,0,0,0,1,0,0,0,6,0,365,359
Hurungwe,Hurungwe East,Hurungwe RDC,6,Sikati Primary School,3800HUR0608,1,69,1,0,0,1,1,0,0,1,0,0,1,0,276,1,1,0,0,1,0,1,0,2,0,357,355
Hurungwe,Hurungwe East,Hurungwe RDC,6,Sungwi Primary School,3800HUR0609,0,49,1,1,0,0,1,0,0,1,0,0,0,0,271,1,0,0,0,0,0,0,0,4,0,329,325
,,,,,Ward Total,9,700,11,1,0,4,6,17,1,3,0,1,3,4,3070,3,5,3,4,8,5,2,5,47,0,3912,3865
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurungwe,Hurungwe East,Hurungwe RDC,14,Chijawi Primary School,3800HUR1401,7,111,3,0,1,2,0,2,0,0,2,0,0,0,286,3,0,0,0,3,1,0,2,19,0,442,423
Hurungwe,Hurungwe East,Hurungwe RDC,14,Chinhere Primary School,3800HUR1402,5,171,1,0,0,1,1,2,0,0,1,0,0,1,282,3,0,0,1,0,1,4,2,18,0,494,476
Hurungwe,Hurungwe East,Hurungwe RDC,14,Chirariro Primary School,3800HUR1403,7,98,0,0,1,3,1,1,0,1,0,1,0,1,615,1,0,1,1,2,1,0,1,12,0,748,736
Hurungwe,Hurungwe East,Hurungwe RDC,14,Chivende Primary School,3800HUR1404,8,264,3,1,0,4,2,7,0,0,1,1,4,1,342,5,1,3,0,2,3,3,2,7,0,664,657
Hurungwe,Hurungwe East,Hurungwe RDC,14,Davare Primary School,3800HUR1405,2,92,0,0,0,1,0,5,0,0,0,0,0,0,145,6,0,0,0,1,0,0,1,11,0,264,253
Hurungwe,Hurungwe East,Hurungwe RDC,14,Gwiwa Primary School,3800HUR1406 A,5,163,0,0,0,4,0,3,0,1,0,1,0,2,321,2,0,0,1,1,2,0,1,5,0,512,507
Hurungwe,Hurungwe East,Hurungwe RDC,14,Gwiwa Primary School,3800HUR1406 B,5,158,0,2,0,3,1,4,0,0,0,1,0,1,327,2,0,2,2,1,1,0,0,3,0,513,510
Hurungwe,Hurungwe East,Hurungwe RDC,14,Hambakwe Primary School,3800HUR1407,4,98,3,0,0,3,0,4,0,0,1,0,0,0,45,1,0,3,0,3,0,0,0,1,0,166,165
Hurungwe,Hurungwe East,Hurungwe RDC,14,Kangurunguru Primary School,3800HUR1408,1,12,1,0,0,0,1,1,0,0,0,0,0,0,169,0,0,2,0,0,0,0,0,5,0,192,187
Hurungwe,Hurungwe East,Hurungwe RDC,14,Kavaya Primary School,3800HUR1409,4,381,2,1,0,3,1,5,0,1,0,0,1,3,230,8,1,0,0,0,1,0,2,5,0,649,644
Hurungwe,Hurungwe East,Hurungwe RDC,14,Mainje Primary School,3800HUR1410,2,151,0,2,0,0,1,1,2,2,1,0,0,1,165,1,2,0,0,2,1,1,1,5,0,341,336
Hurungwe,Hurungwe East,Hurungwe RDC,14,Marere Primary School,3800HUR1411,10,274,2,2,1,8,4,15,0,0,0,0,0,4,417,8,5,0,0,0,0,0,0,53,0,803,750
Hurungwe,Hurungwe East,Hurungwe RDC,14,Mbezo Primary School,3800HUR1412,3,89,1,0,0,0,0,2,0,0,0,0,0,0,238,4,0,0,0,0,0,0,0,4,0,341,337
Hurungwe,Hurungwe East,Hurungwe RDC,14,Mukohwe Primary School,3800HUR1413,4,103,4,0,0,1,1,3,0,0,0,0,2,2,140,4,1,1,1,2,1,1,1,3,0,275,272
Hurungwe,Hurungwe East,Hurungwe RDC,14,Tengwe Primary School,3800HUR1414,7,396,1,0,2,4,5,13,1,1,2,0,2,3,297,9,3,2,2,3,1,3,2,7,0,766,759
Hurungwe,Hurungwe East,Hurungwe RDC,14,Wino Primary School,3800HUR1415,3,108,1,0,0,0,1,1,0,1,1,0,0,0,201,3,0,1,1,1,0,2,0,14,0,339,325
,,,,,Ward Total,77,2669,22,8,5,37,19,69,3,7,9,4,9,19,4220,60,13,15,9,21,13,14,15,172,0,7509,7337
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurungwe,Hurungwe East,Hurungwe RDC,19,Desisit Primary School,3800HUR1901,2,59,1,0,1,1,0,1,0,0,0,0,1,0,334,0,0,0,2,0,0,0,1,8,0,411,403
Hurungwe,Hurungwe East,Hurungwe RDC,19,Jambo Farm House,3800HUR1902,3,53,0,1,0,2,1,0,0,0,1,0,0,0,327,1,0,2,0,0,1,1,0,8,0,401,393
Hurungwe,Hurungwe East,Hurungwe RDC,19,Madzimoyo Primary School,3800HUR1903,6,64,1,0,0,0,2,0,0,0,0,0,0,1,643,1,0,1,0,1,1,0,0,13,0,734,721
Hurungwe,Hurungwe East,Hurungwe RDC,19,Nevern Plaice Primary School,3800HUR1904,0,20,1,0,0,0,1,1,0,1,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,258,258
Hurungwe,Hurungwe East,Hurungwe RDC,19,Oldonyo Primary School,3800HUR1905 A,3,52,6,1,1,0,0,1,2,0,1,1,0,0,398,1,0,1,0,0,0,1,0,4,0,473,469
Hurungwe,Hurungwe East,Hurungwe RDC,19,Oldonyo Primary School,3800HUR1905 B,3,56,0,1,0,3,1,2,0,0,0,0,0,1,388,1,0,0,0,0,0,0,2,8,0,466,458
Hurungwe,Hurungwe East,Hurungwe RDC,19,Tamuka Primary School,3800HUR1906,1,85,2,0,0,2,1,2,1,1,0,0,0,1,661,1,1,0,2,0,0,0,1,19,0,781,762
,,,,,Ward Total,18,389,11,3,2,8,6,7,3,2,2,1,1,3,2985,5,1,4,4,1,2,2,4,60,0,3524,3464
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurungwe,Hurungwe East,Hurungwe RDC,20,Garika Primary School,3800HUR2001,0,29,1,0,0,0,0,2,0,0,0,0,0,0,122,0,0,0,1,0,1,1,0,2,0,159,157
Hurungwe,Hurungwe East,Hurungwe RDC,20,Geluksvlei Farm house,3800HUR2002,2,46,1,0,0,1,0,0,0,0,,0,0,0,262,2,1,0,1,0,0,0,0,9,0,325,316
Hurungwe,Hurungwe East,Hurungwe RDC,20,Impala Plains Farm house,3800HUR2003,0,9,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,73,73
Hurungwe,Hurungwe East,Hurungwe RDC,20,Inverness Farm house,3800HUR2004,0,10,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,4,0,133,129
Hurungwe,Hurungwe East,Hurungwe RDC,20,Lazy Five Primary School,3800HUR2005,2,49,1,2,0,0,0,0,0,0,0,0,0,0,587,0,0,1,0,0,1,0,0,2,0,645,643
Hurungwe,Hurungwe East,Hurungwe RDC,20,Mlichi Primary School,3800HUR2006,0,86,2,1,0,0,0,1,0,0,0,0,0,0,533,0,0,0,1,0,0,1,0,5,0,630,625
Hurungwe,Hurungwe East,Hurungwe RDC,20,Shola Farm house,3800HUR2007,0,32,1,0,0,0,0,0,0,0,0,0,0,0,180,2,0,0,1,1,0,0,1,8,0,226,218
Hurungwe,Hurungwe East,Hurungwe RDC,20,Wajetsi Farm house,3800HUR2008,0,25,0,0,0,0,0,1,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,5,0,236,231
,,,,,Ward Total,4,286,6,3,0,1,0,4,0,0,0,0,0,0,2072,4,1,1,4,1,2,2,1,35,0,2427,2392
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurungwe,Hurungwe East,Hurungwe RDC,21,Banga Primary School,3800HUR2101,0,26,1,1,1,1,0,0,0,0,0,0,0,0,231,0,0,0,0,1,0,0,0,4,0,266,262
Hurungwe,Hurungwe East,Hurungwe RDC,21,Hesketh Park Primary School,3800HUR2102,2,53,1,0,0,0,1,1,0,0,0,0,0,3,785,1,1,0,0,2,1,0,0,9,0,860,851
Hurungwe,Hurungwe East,Hurungwe RDC,21,Jenya Primary School,3800HUR2103,0,27,0,0,0,0,2,0,0,0,0,0,0,0,221,1,0,0,0,0,0,0,1,2,0,254,252
Hurungwe,Hurungwe East,Hurungwe RDC,21,Lancaster Primary School,3800HUR2104,3,56,0,1,0,3,1,2,0,2,0,1,0,0,465,0,0,1,1,0,0,0,1,13,0,550,537
Hurungwe,Hurungwe East,Hurungwe RDC,21,Lucky Crown Primary School,3800HUR2105,1,36,0,1,0,2,0,2,0,0,0,0,0,0,214,0,0,0,0,1,0,0,0,5,0,262,257
Hurungwe,Hurungwe East,Hurungwe RDC,21,Nyamambizi Primary School,3800HUR2106,1,80,1,1,0,1,1,1,0,1,0,0,0,2,576,2,1,0,1,0,0,0,0,11,0,680,669
Hurungwe,Hurungwe East,Hurungwe RDC,21,Pumara primary school,3800HUR2107,2,55,0,1,0,0,0,0,0,1,0,0,0,0,498,1,1,0,0,0,0,0,0,5,0,564,559
,,,,,Ward Total,9,333,3,5,1,7,5,6,0,4,0,1,0,5,2990,5,3,1,2,4,1,0,2,49,0,3436,3387
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,CONSTITUENCY TOTAL,139,5090,67,20,12,65,43,116,8,17,15,13,13,40,21313,91,26,30,30,41,27,23,32,420,0,27691,27271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurungwe,Hurungwe North,Hurungwe RDC,7,BH2 Pre-School,3800HUR0701,2,229,3,0,1,4,0,7,0,1,1,1,0,1,342,0,0,0,2,1,0,0,3,7,0,605,598
Hurungwe,Hurungwe North,Hurungwe RDC,7,Chipfuko Primary School,3800HUR0702,1,159,1,1,0,2,0,3,0,0,1,1,0,1,378,1,0,1,2,0,0,0,1,7,0,560,553
Hurungwe,Hurungwe North,Hurungwe RDC,7,Chirundu Sugar Estate Office,3800HUR0703,0,165,1,0,0,0,0,0,0,0,0,0,0,0,46,2,0,0,0,0,0,0,0,1,0,215,214
Hurungwe,Hurungwe North,Hurungwe RDC,7,Huyo Primary School,3800HUR0704,11,295,6,1,2,3,1,2,2,1,0,1,0,2,387,6,0,0,1,1,0,1,4,9,0,736,727
Hurungwe,Hurungwe North,Hurungwe RDC,7,Karl P-Sec Primary School,3800HUR0705,1,61,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,95,95
Hurungwe,Hurungwe North,Hurungwe RDC,7,Makuti Primary School,3800HUR0706,0,95,0,0,0,0,0,0,0,0,0,0,0,0,36,3,1,0,1,0,0,0,0,0,0,136,136
Hurungwe,Hurungwe North,Hurungwe RDC,7,Mana Pools National Parks Offices,3800HUR0707,0,45,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,0,62,60
Hurungwe,Hurungwe North,Hurungwe RDC,7,Mukanga National Parks Offices,3800HUR0708,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10,10
Hurungwe,Hurungwe North,Hurungwe RDC,7,Nyamakate Primary School,3800HUR0709,1,156,0,0,0,0,1,2,0,1,1,0,0,0,346,1,0,0,0,0,0,0,0,5,0,514,509
Hurungwe,Hurungwe North,Hurungwe RDC,7,Nyamakate Secondary School,3800HUR0710,1,224,3,0,1,2,0,3,0,1,1,0,0,0,345,1,0,1,0,1,1,1,1,7,0,594,587
Hurungwe,Hurungwe North,Hurungwe RDC,7,Rutendo A Primary School,3800HUR0711,1,446,0,0,0,2,0,7,0,0,0,0,0,0,172,3,0,0,1,0,1,1,1,19,0,654,635
Hurungwe,Hurungwe North,Hurungwe RDC,7,Rutendo B Primary School,3800HUR0712,0,283,0,0,0,0,0,5,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,7,0,420,413
Hurungwe,Hurungwe North,Hurungwe RDC,7,Village 28 Pre-School,3800HUR0713,2,30,0,0,0,1,0,0,0,0,0,0,0,0,181,1,0,0,0,0,0,0,0,7,0,222,215
,,,,,Ward Total,20,2191,14,2,4,14,2,29,2,4,4,3,0,4,2413,18,1,2,7,3,2,3,10,71,0,4823,4752
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurungwe,Hurungwe North,Hurungwe RDC,8,Chipatapata Settlement Tent,3800HUR0801,2,38,0,0,0,0,0,1,0,0,1,0,0,0,104,0,0,0,1,0,0,0,1,3,0,151,148
Hurungwe,Hurungwe North,Hurungwe RDC,8,Chiruchinuna Primary School,3800HUR0802,0,17,0,1,0,0,0,1,0,0,0,0,0,0,98,0,0,1,0,0,0,0,0,1,0,119,118
Hurungwe,Hurungwe North,Hurungwe RDC,8,Chitindiva Primary School,3800HUR0803,5,353,4,0,1,0,0,0,0,6,0,1,0,1,322,5,0,3,1,1,0,0,3,29,0,735,706
Hurungwe,Hurungwe North,Hurungwe RDC,8,Hurungwe Primary School,3800HUR0804,3,99,2,1,0,1,1,2,0,1,0,0,0,0,176,1,0,2,0,0,1,0,2,2,0,294,292
Hurungwe,Hurungwe North,Hurungwe RDC,8,Kabidza Primary School,3800HUR0805,16,278,7,0,2,3,1,5,0,0,1,1,0,0,232,4,0,1,0,0,0,0,4,27,0,582,555
Hurungwe,Hurungwe North,Hurungwe RDC,8,Karuru Primary School,3800HUR0806,4,233,3,0,0,2,1,3,2,0,1,0,0,4,455,9,0,2,0,2,1,1,2,16,0,741,725
Hurungwe,Hurungwe North,Hurungwe RDC,8,Mahwau Primary School,3800HUR0807,2,249,2,0,0,2,2,14,0,0,0,0,0,0,287,4,1,0,0,0,1,1,2,21,0,588,567
Hurungwe,Hurungwe North,Hurungwe RDC,8,Manyenyedzi Primary School,3800HUR0808,1,292,0,0,0,0,1,5,1,0,0,0,0,0,140,2,0,0,1,0,0,2,1,8,0,454,446
Hurungwe,Hurungwe North,Hurungwe RDC,8,Mureza Pre-School,3800HUR0809,1,35,0,0,0,1,1,2,0,0,0,0,0,0,114,1,0,0,0,0,0,0,1,4,0,160,156
,,,,,Ward Total,34,1594,18,2,3,9,7,33,3,7,3,2,0,5,1928,26,1,9,3,3,3,4,16,111,0,3824,3713
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurungwe,Hurungwe North,Hurungwe RDC,9,Chibara Primary School,3800HUR0901,7,136,1,0,2,3,0,9,0,0,0,1,0,2,714,2,0,1,1,2,2,0,2,20,0,905,885
Hurungwe,Hurungwe North,Hurungwe RDC,9,Chikora Primary School,3800HUR0902,2,92,2,0,0,2,1,1,0,0,1,0,0,0,227,2,1,0,0,0,0,1,0,8,0,340,332
Hurungwe,Hurungwe North,Hurungwe RDC,9,Chikova Primary School,3800HUR0903,3,137,2,0,1,2,0,3,0,0,0,2,0,0,700,2,0,3,1,0,0,0,0,12,0,868,856
Hurungwe,Hurungwe North,Hurungwe RDC,9,Chitenje Primary School,3800HUR0904,11,121,1,1,1,6,1,4,1,0,0,1,2,1,401,5,0,1,0,0,1,1,2,45,0,607,562
Hurungwe,Hurungwe North,Hurungwe RDC,9,Dete Primary School,3800HUR0905,10,95,2,1,2,0,2,8,1,1,0,0,0,2,355,1,0,1,0,2,1,1,9,15,0,509,494
Hurungwe,Hurungwe North,Hurungwe RDC,9,Dunga Primary School,3800HUR0906,5,165,3,0,2,1,0,5,0,0,0,0,1,1,242,1,0,0,0,1,0,1,2,21,0,451,430
Hurungwe,Hurungwe North,Hurungwe RDC,9,Kazangarare Primary School,3800HUR0907 A,1,175,2,0,1,6,0,2,1,0,0,0,0,2,353,2,1,3,3,0,0,2,0,10,0,564,554
Hurungwe,Hurungwe North,Hurungwe RDC,9,Kazangarare Primary School,3800HUR0907 B,7,145,3,0,0,4,3,2,0,0,0,0,0,1,365,2,2,0,2,3,2,2,3,14,0,560,546
Hurungwe,Hurungwe North,Hurungwe RDC,9,Ketsanga Primary School,3800HUR0908,9,115,3,0,1,2,1,4,1,0,0,0,0,0,299,3,0,2,0,0,0,0,1,9,0,450,441
Hurungwe,Hurungwe North,Hurungwe RDC,9,Makwiye Pre-School,3800HUR0909,3,35,0,0,0,1,1,2,0,0,0,0,0,1,175,0,0,0,0,0,0,1,3,15,0,237,222
Hurungwe,Hurungwe North,Hurungwe RDC,9,Masokoti Primary School,3800HUR0910,2,42,2,0,0,0,0,1,0,0,0,0,0,1,257,2,2,0,1,0,1,1,0,9,0,321,312
Hurungwe,Hurungwe North,Hurungwe RDC,9,Mpuse Primary School,3800HUR0911,1,10,0,0,0,0,0,0,1,0,0,0,0,2,134,0,0,0,0,0,0,0,0,1,0,149,148
Hurungwe,Hurungwe North,Hurungwe RDC,9,Murehwa Primary School,3800HUR0912,4,104,2,0,1,0,0,0,0,1,2,0,0,0,376,4,0,0,0,0,1,1,0,9,0,505,496
Hurungwe,Hurungwe North,Hurungwe RDC,9,Reza Pre-School,3800HUR0913,5,98,1,0,0,4,0,6,0,0,2,1,1,0,236,2,0,1,0,1,2,0,0,12,0,372,360
,,,,,Ward Total,70,1470,24,2,11,31,9,47,5,2,5,5,4,13,4834,28,6,12,8,9,10,11,22,200,0,6838,6638
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurungwe,Hurungwe North,Hurungwe RDC,22,Bakwa Primary School,3800HUR2201 A,1,45,0,0,0,1,2,0,0,0,0,0,0,0,389,0,0,0,0,1,1,0,0,4,0,444,440
Hurungwe,Hurungwe North,Hurungwe RDC,22,Bakwa Primary School,3800HUR2201 B,3,51,1,1,0,1,0,3,0,0,0,0,0,1,371,1,0,1,0,1,0,1,1,14,0,451,437
Hurungwe,Hurungwe North,Hurungwe RDC,22,Kachiva Primary School,3800HUR2202,3,226,2,0,0,2,8,7,0,3,1,1,0,1,558,3,2,1,1,3,0,2,2,11,0,837,826
Hurungwe,Hurungwe North,Hurungwe RDC,22,Kapiri Primary School,3800HUR2203,6,141,6,1,0,3,2,3,2,1,0,2,0,0,529,4,2,1,2,1,0,2,0,10,0,718,708
Hurungwe,Hurungwe North,Hurungwe RDC,22,Mauya Primary School,3800HUR2204,1,77,1,0,0,1,0,1,0,1,0,0,0,0,437,0,0,0,0,0,3,0,1,3,0,526,523
Hurungwe,Hurungwe North,Hurungwe RDC,22,Nyama Primary School,3800HUR2205 A,3,149,4,0,1,4,0,2,0,0,0,0,0,0,408,2,0,0,0,1,1,1,2,14,0,592,578
Hurungwe,Hurungwe North,Hurungwe RDC,22,Nyama Primary School,3800HUR2205 B,6,152,3,0,0,0,2,7,2,0,1,0,0,2,392,4,0,3,1,4,2,2,1,10,0,594,584
Hurungwe,Hurungwe North,Hurungwe RDC,22,Senge Veterinary Office,3800HUR2206,4,137,1,0,0,1,3,8,0,0,0,0,0,1,246,4,1,1,2,2,1,3,2,9,0,426,417
,,,,,Ward Total,27,978,18,2,1,13,17,31,4,5,2,3,0,5,3330,18,5,7,6,13,8,11,9,75,0,4588,4513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,CONSTITUENCY TOTAL,151,6233,74,8,19,67,35,140,14,18,14,13,4,27,12505,90,13,30,24,28,23,29,57,457,0,20073,19616
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurungwe,Hurungwe West,Hurungwe RDC,15,Chiedza Primary School,3800HUR1501,6,188,1,0,0,0,0,9,0,0,0,0,0,1,157,1,0,1,0,0,0,1,0,12,0,377,365
